#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/mishima_info/croquette/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	Mishima_croquette
#download_from	http://linkdata.org/work/rdf1s3692i
#property	店名	http://xmlns.com/foaf/0.1/homepage	住所	電話	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
16	沓間水産（株）沼津魚がしグループ（計35店舗）	http://www.uogashizushi.co.jp/	静岡県裾野市二ツ屋１３６－５	055-993-5039	35.166191	138.904175
17	K's　Factory（ケーズファクトリー）		大阪府枚方市三栗１丁目１－３５－８０４	090-9112-7192	34.833023	135.655807
18	ケニーズハウス・カフェ		沼津市大手町１－１－６　イーラDe ２F	055-964-0022	35.103424	138.861343
19	(株)豪匠 セントーサ		伊豆の国市田京１５２－１	0558-76-1333	35.011623	138.943848
20	CoCo壱番屋　三島萩店  (2店舗)	http://www.ichibanya.co.jp/index.html	三島市萩２５６－１	055-980-6685	35.148769	138.909027
21	御殿場高原ビール麦畑		御殿場市神山７１９	0550-87-5500	35.23521	138.925858
22	駒井精肉店（有）		三島市日の出町1-25	055-975-3006	35.120674	138.92334
23	㈱サークルＫサンクス （373店舗）　　	http://www.circleksunkus.jp/	425-0091 静岡県焼津市八楠2-30-14 　　　　　　　　サークルＫ　　焼津八楠店2F	054-627-9235	34.880058	138.309326
24	JA三島函南農産物直売所　フレッシュ		三島市谷田１４１－１	055-971-8217	35.114327	138.929844
25	イズーラ修善寺	http://www.izuhakone.co.jp/	伊豆市柏久保６３１－７	055-873-2188	34.979561	138.951218
26	旬彩　さん太	http://www13.plala.or.jp/tomosanta/	三島市本町７－１２	055-973-9888	35.120083	138.912384
27	裾野カンツリー倶楽部		裾野市今里１０６０	055-997-3030	35.223083	138.877304
28	(株)スーパーカドイケ　三島田町店		三島市北田町３－５８	055-983-1717	35.116909	138.917877
29	(株)スーパーマルトモ　あしたか店	http://www.supermarutomo.com/	沼津市東椎路８２９	055-929-8255	35.122868	138.833893
30	(株)スーパーマルトモ　千本店	http://www.supermarutomo.com/	沼津市千本緑町３－１５	055-964-2888	35.091877	138.854095
31	(株)スーパーマルトモ　本店	http://www.supermarutomo.com/	沼津市大手町５－９－２１	055-954-6688	35.101794	138.858089
32	(株)スーパーマルトモ　山の手店	http://www.supermarutomo.com/	沼津市宮前町２－４	055-921-3502	35.122375	138.872467
33	(株)セブン-イレブン・ジャパン　(約451店舗)	http://www.sej.co.jp/	駿東郡長泉町下土狩４７４－９	055-989-7110	35.128157	138.900747
34	創作料理　ゆうが　三島	http://www.yudai.co.jp/	三島市一番町１３－１３　フジミビル４F	055-991-6800	35.125068	138.912978
35	たかはし商店		三島市谷田１１５９－２	055-975-3430	35.115837	138.932505
36	つぼぐち本店	http://www.tsuboguchi.co.jp/	御殿場市かまど１２－１	0550-83-8411	35.267166	138.924652
37	つわぶき		御殿場市御殿場１１４	0550-83-0364	35.318913	138.946487
38	テラスイル・ミラージュ		沼津市高島本町1-5イシバシプラザ地下１階	0558-926-3798	35.10817	138.857834
39	（株）東京ハイウエイ駒門上り売店		静岡県御殿場市駒門６２	0550-87-0434	35.254955	138.892899
40	（株）東京ハイウエイ鮎沢下り売店		神奈川県足柄上郡山北町谷ヶ字北畑８２２	0465-77-2548	35.366077	139.037628
41	（株）東京ハイウェイ鮎沢上り売店		神奈川県足柄上郡北町大字谷蛾字唯沢925-2	0465-77-2613	35.342339	139.231277
42	㈱桃中軒 御殿場販売店	http://www.tochuken.co.jp/	御殿場市新橋1897-4アスティ御殿場1階	0550-83-8516	35.300591	138.93454
43	㈱桃中軒 三島駅	http://www.tochuken.co.jp/	三島市一番町16-1	055-975-2828	35.125584	138.912338
44	㈱桃中軒 沼津駅店舗(電話連絡は沼津本店へ)	http://www.tochuken.co.jp/	沼津市千本港町２４	055-963-8211	35.084755	138.856735
45	戸隠　FUJI	http://tg94-fuji.com/	富士市大淵２４７８－６	0545-35-5533	35.19701	138.673569
46	ナガヤ(株）(6店舗)		伊東市竹の内２－７－３５	055-737-2014	34.969147	139.099442
47	肉のひきだ　(有)疋田商店		東京都青梅市長渕４－２３９－１３	0428-22-1714	35.777699	139.273727
48	レストラン富士見		伊豆市大野１８２６　財団法人日本サイクルスポーツセンター内	0558-79-0025	35.006973	139.010056
49	のあき　中華飯店　駅前店	http://tabelog.com/shizuoka/A2205/A220501/22007790/	三島市一番町１３－１６	055-975-0523	35.125252	138.91275
50	ハートフルダイニング　おんふらんす	http://www.mishima-french.com/	三島市一番町１１－４　ホテル昭明館２Ｆ	055-991-5670	35.124788	138.914051
51	箱根園（ななかまど・プリンスパン工房）	http://www.princehotels.co.jp/amuse/hakone-en/restaurant/	神奈川県足柄下郡箱根町元箱根１３９	0460-83-1151	35.211807	139.009964
52	箱根てのゆ		神奈川県足柄下郡箱根町底倉５５５	0460-86-1026	35.243748	139.055664
53	箱根ベーカリー三島店		三島市一番町１６－１	055-986-7338	35.125584	138.912338
54	華家名彩　柿田川店		駿東郡清水町玉川６１－２サントムーン柿田川生鮮館内	055-973-1484	35.109939	138.90564
55	(有)ハニフードサービス（3店舗）		富士市本市場新田６０９－１０	054-564-5182	35.168629	138.655426
56	浜焼太郎	http://r.gnavi.co.jp/na0u800/	三島市本町１３－１７	055-983-1255	35.119087	138.915161
57	Hamburger＆Café　沼津バーガー		沼津市千本港町８３－１	055－951－4335	35.084049	138.858047
58	㈱ひかり鶏　麻布十番店、高輪台（2店舗）		東京都港区麻布十番２－１６－９　網代ビル１Ｆ	03-3452-2275	35.654083	139.735474
59	(株)時之栖　百笑の湯		伊豆市瓜生野４１０－１	0558-73-1126	34.988628	138.942627
60	FoodFood&drinkdrink　Hasegawa（株式会社　長谷川商事)富士スピードウェイ店ほか（２店舗）		裾野市千福が丘1-18-5	055-993-9863	35.195034	138.882309
61	㈱富士エースゴルフ倶楽部	http://fuji-ace-golf.co.jp/	駿東郡長泉町東野字八分平６５５－１	055-987-6011	35.163273	138.8918
62	㈱ふじおやま（道の駅、ふじおやま）	http://www4.tokai.or.jp/fujioyama246/	駿東郡小山町用沢７２－２	0550-76-5258	35.344837	138.950104
63	富士川サービスエリア下り線		富士市岩渕舟山	054-581-0750	35.154961	138.610825
64	富士川サービスエリア上り線		富士市木島７８０	054-556-2200	35.170686	138.613214
65	ふじとはち　赤坂店	http://r.gnavi.co.jp/e003402	東京都港区赤坂５－１－５菅野ビルＢ１Ｆ	03-6277-6614	35.673645	139.735352
66	ふじとはち　銀座本店	http://r.gnavi.co.jp/e003400	東京都中央区銀座１－１４－１第二サトウビル	03-3538-2770	35.673439	139.76974
67	ふじとはち　銀座４丁目店	http://r.gnavi.co.jp/e003401	東京都中央区銀座４－１４－１清水ビルＢ１Ｆ	03-6278-7214	35.669569	139.769268
68	富士屋ホテル仙石ゴルフコース　ウィステリア		神奈川県足柄下群箱根町仙石原１２３７	0460-84-7588	35.220211	139.043015
69	奉天軒		沼津市高島町１－１０	055-924-1483	35.104229	138.859085
70	ホテルルートイン御殿場駅南		御殿場市川島田６２８－１６	0550－70－1155	35.296719	138.931305
71	マックスバリュ東海㈱　計108店舗(H30.07.3　107店舗）	http://www.mv-tokai.com/	長泉町下長窪３０３－１	055-999-3125	35.142422	138.882904
72	マリオパスタ		三島市南本町７－１７	055-973-0550	35.115696	138.9151
73	マリンスパあたみ　テラス売店		熱海市和田浜南４－３９	090-2300-3080	35.089844	139.079437
74	三島ゴルフ倶楽部		長泉町東野学八分平２１０－１	055-987-1515	35.188416	138.852585
75	三島市役所　食堂		三島市北田町４－４７	055-983-2705	35.118809	138.918945
76	三島商工会議所		三島市一番町２－２９	055-975-4441	35.123945	138.914051
77	道の駅ふじおやま農産物直売所（㈱富士小山企画）		駿東郡小山町用沢７２－２	0550－76－1315	35.344837	138.950104
78	焼津さかな工房（焼津市魚仲水産加工業協同組合）	http://www.yaizu-sakana.com/pa/html/info.html	焼津市石脇上９６－１（東名高速上り日本坂ＰＡ内）	054-620-8161	34.890095	138.318924
79	Ｃａｆｅ＆Ｇａｌｌｅｒｙ　ＲＡＫＵ	http://www.f-koten.jp/shop/432	三島市中央町７－７	055-975-3895	35.121853	138.916351
80	リバーサイドガーデン　フォーシーズン		三島市東町７－３７	055-981-0187	35.117767	138.926196
81	ホテルルートイン裾野インター		裾野市御宿字暮間１５３２－１	055-997-9511	35.210606	138.911728
82	レカント		三島市本町１３－１９	055-976-6003	35.119267	138.915115
83	和食蒲焼　髙田屋	http://www.mishimatakadaya.com/	三島市本町１－４１	055-975-0495	35.119944	138.914781
84	和匠　とと兵衛		三島市文教町１－５－６日商三島ビル１０２	055-987-7898	35.128368	138.910618
85	焼き鳥　いろ鳥		三島市一番町１３－３	090-8675-4446	35.124336	138.913559
86	ヤマダイ		函南町桑原９６	090-5114-2533	35.120663	138.969626
87	ゆらぎ		函南町間宮５６１－３	055-973-4625	35.077336	138.938856
88	㈱イトーヨーカ堂沼津店　		沼津市高島本町１－５	055-924-2211	35.108201	138.857832
89	伊東マリンタウン　海辺の食卓		伊東市湯川５７１－１９	0557-29-6111	34.984665	139.093628
90	こ洒落居酒屋99℃～沸騰寸前～		沼津市岡宮５２６－１	055-925-2051	35.125549	138.87355
91	旬菜食房　はなのき		田方郡函南町仁田４７－１	055-978-9220	35.087801	138.943534
92	新鮮市場　JOY		静岡県牧之原市地頭方２４８－１	0548-58-0847	34.632603	138.1875
93	新東名高速道路　NEOPASA駿河湾沼津上りフードコート内 かもめの台所		沼津市根古屋９９８－２７　駿河湾沼津SA上り線  　フードコート内	055-946-5552	35.144516	138.806656
94	新東名高速道路　NEOPASA駿河湾沼津上りフードコート内 地粉屋		沼津市根古屋９９８－２８　駿河湾沼津SA上り線  　フードコート内	055-946-5552	35.144516	138.806656
95	(株)スーパーカドイケ　三島青木店		三島市青木１４３－５	055-975-6633	35.103275	138.922836
96	西熱海ゴルフコース		熱海市熱海１８００	0557-84-1111	35.108299	139.053711
97	箱根のめぐみ		三島市南二日町２５－１２－１０１	055-983-5522	35.111317	138.924805
98	(株)山本食品　三島わさび工場		田方郡函南町塚本８９４－１　※本社は三島市御園103-2	055-970-0983	35.076206	138.925919
99	(株)山本食品　門前せせらぎ店		三島市大社町１－２８	055-983-1108	35.119999	138.91925
100	(株)山本食品　門前せせらぎ蘖庵		三島市大社町１－１０	055-983-4701	35.119224	138.919029
101	道の駅（富士）　㈱あれこれ屋		冨士市五貫島字靖国669-1	0545-62-1118	35.126011	138.646118
102	ヴィドフランス　三島店	http://asty-shizuoka.co.jp/othershops/2594/	三島市一番町16-1アスティ三島サウス	055-971-1661	35.125584	138.912338
103	フードストアー　あおき函南店		函南町間宮８３３－１	055-979-8181	35.086491	138.938904
104	伊豆フルーツパーク	http://izupa.orepa.jp/	三島市塚原新田181-1	055-971-1151	35.136196	138.950745
105	エスパルスドリームプラザ　海辺のビュッフェ　はとばキッチン	http://www.dream-plaza.co.jp/gourmet/detail.php/10	静岡市清水区入船町13-15	054-354-3360	35.01041	138.492599
106	西洋フード・コンパスグループ㈱キヤノン富士裾野店		裾野市深良4202　キヤノン富士裾野リサーチパーク	055-997-8288	35.2127	138.948013
107	伊豆長岡金城館		伊豆の国市長岡1035-1	055-948-6500	35.037209	138.932297
108	大仁ホテル		伊豆の国市大仁1178	0558-76-1111	34.994087	138.940216
109	熱海金城館		熱海市昭和町10-33	0557-81-6261	35.091484	139.070465
110	熱海ニューフジヤホテル		熱海市銀座町1-16	0557-81-0111	35.097387	139.07258
111	伊東園ホテル熱海館		熱海市田原本町4-16	0557-83-2000	35.101811	139.076314
112	ウオミサキホテル		熱海市和田浜南町7-2	0557-86-2111	35.089838	139.075499
113	ホテル大野屋		熱海市和田浜南町3-9	0557-82-1121	35.091067	139.073567
114	サガミ三島萩店		三島市萩336	055-989-3911	35.151833	138.907761
115	サガミ三島玉川店		三島市玉川409-2	055-976-2255	35.106503	138.916077
116	サガミ函南店		田方郡函南町間宮字横田329-4	055-978-8871	35.082661	138.935593
117	フードマーケット　マム　柿田川店	http://www.takaramc.com/store/kakita.html	駿東郡清水町柿田172-1	055-983-1039	35.101917	138.898001
118	エース　生鮮館　畑毛店		田方郡函南町柏谷1310-4	055-970-1031	35.0868	138.96698
119	セルコバーガー		三島市広小路町10-1	080-6914-3533	35.118652	138.911301
120	カフェ瑠音（ルネ）		三島市芝本町3-10　	055-971-5262	35.122383	138.91521
121	さんさん食堂		三島市末広町2-4	055-919-2479	35.135686	138.912506
122	三島発　伊豆コレクション		三島市一番町15-28	055-981-3000	35.125437	138.911347
123	箱根　十国峠レストハウス	http://www.izuhakone.co.jp/jukkoku-rest/index.html/	田方郡函南町桑原1400-20	0557-83-6211	35.127235	139.040359
124	丸二商事㈱		下田市西中13-8	0558-22-0030	34.689293	138.941956
125	休暇村富士	http://www.qkamura.or.jp/	富士宮市佐折634	0544-54-5200	35.341263	138.553726
126	柿田川湧水カレー	http://www.kakitagawa-curry.com/	駿東郡清水町堂庭199-1	055-972-9680/080-45441660	35.099308	138.906189
127	ベルマート　三島南口店		三島市一番町16-1　三島駅構内	055-983-3191	35.125584	138.912338
128	ベルマート　三島北口店		三島市一番町16-1　三島駅構内	055-983-3191	35.125584	138.912338
129	ベルマート　三島新幹線ホーム店		三島市一番町16-1　三島駅構内	055-983-3191	35.125584	138.912338
130	ギフトキヨスク　三島店		三島市一番町16-1　三島駅構内	055-983-3191	35.125584	138.912338
131	㈱スーパーラック　計4店舗	http://www.luckgroup.co.jp/	牧野原市波津3-28	0548-52-2988	34.74028	138.224533
132	赤から　三島店		三島市一番町9-37　サンメイトビル	055-991-2222	35.125668	138.913177
133	串特急　三島駅前店		三島市一番町11-17　大黒ビル1F	090-5860-3592	35.124665	138.913708
134	パン工房　ベルべ駿河湾沼津ＳＡ店		沼津市根古屋998-27	店舗055-946-5457	35.153786	138.809586
135	お食事処　山田		袋井市豊沢2750	0538-42-2057	34.740025	137.977585
136	カラオケ　e-style		東京都江戸川区西小岩1-28-3　三経14ビル3F	03-6657-8668	35.734627	139.882965
137	三島カントリークラブ		三島市徳倉1195	055-988-0801	35.154617	138.923172
138	株式会社フジヤマリゾート　キッズフジＱ内　キッズカフェ		裾野市須山字藤原2427番地	ﾌｼﾞﾔﾏﾘｿﾞｰﾄ  055-998-1111	35.292767	138.783752
139	ベーカリー朝日屋		三島市安久322-1（伊豆村の駅内）	080-3663-3483	35.085842	138.928925
140	Ｂａｋｅｒｙ　Ｃａｆｅ　す・ぱん　		駿東郡長泉町下長窪1076-1	055-989-5365	35.148811	138.890472
141	伊豆コレクション箱根八里		三島市中央町3-36	055-975-1112	35.119961	138.918411
142	はまそう大仁店（アピタ大仁店内）		伊豆の国市吉田字九十分153-1	0558-75-5112	34.9986	138.938309
143	ストランズ・・・冷凍食品のみ販売		三島市本町9-3　シャリエ三島本町プレミアム１階	055-973-7698	35.119015	138.912994
144	どんた久（ＥＳＮ　ｃｏｍｐａｎｙ）		東京都足立区佐野2-6-17　フォーブル北綾瀬101号	03-6802-6319	35.786282	139.839294
145	くいもんや房's		沼津市東椎路838-2　メゾンおおたけ2-1F	090-5617-1539	35.122387	138.835968
146	フードウェイ長泉店（ウェルディ長泉生鮮館内）		駿東郡長泉町下長窪字城山1076-1	055-980-6686	35.14735	138.886917
147	フードウェイ柿田川店（サントムーン柿田川店生鮮館内）		駿東郡清水町玉川61-2	055-983-6171	35.109955	138.905624
148	Ｃａｆｅ＆Ｂａｒ　Ｏｃｅａｎ		三島市南本町20-32	080-4204-1027	35.118522	138.915081
149	Ｃａｆｅ＆Ｄａｒｔｓ　Ｆｌｏｒｅｓ		三島市本町12-8　SOHOビル3F	055-943-9103	35.119049	138.914309
150	鮮魚処　三代目　魚貞		三島市本町13-1	055-950-8767	35.119364	138.914909
151	パン工房　ベルべ　計20店(追加）		神奈川県大和市大和東3-13-3	046-264-2887	35.474358	139.463654
152	伊豆箱根三島駅　そば店		三島市一番町16-1	055-984-3911	35.125584	138.912338
153	爽亭　三島		三島市一番町16-1　アスティ三島サウス	055-983-5600	35.125584	138.912338
154	四季酒菜　風土		三島市芝本町9-12	055-973-6551	35.122102	138.912807
155	森のキッチン		三島市笹原新田313番地（三島スカイウォーク内）	055-972-0084	35.145847	138.979233
156	ピクニック		三島市一番町19-3　楽寿園お休み処桜内　売店	080-1563-7265	35.122875	138.911667
157	ＢＯＮＡＰＰＥＴＩＴ　Ｄｅｌｉｃｅｓ		三島市本町１２－４	055-983-0559	35.119294	138.914394
158	伊豆　吉匠		熱海市田原本町11-1　ラスカ熱海　1Ｆ	0557-81-2010	35.1031	139.076935
159	栄屋鶏肉店		富士市浅間本町7-9	0545-52-6192	35.167938	138.676498
160	夏目商店		浜松市西区大平台4丁目24-21	053-482-3500	34.709728	137.675461
161	シーサイドバーガーキッチン		沼津市根古屋928-27　新東名駿河湾沼津ＳＡ上り線	055-946-5131	35.144516	138.806656
162	ホテルルートイン長泉沼津インター第一		駿東郡長泉町下長窪１１５７－１	055-999-1131	35.150116	138.890808
163	ホテルルートイン長泉沼津インター第二		駿東郡長泉町南一色３４－５	055-999-1141	35.151302	138.894482
164	ホテルルートイン清水インター		静岡市清水区八坂東１丁目２０番２０号	050-5847-7401	35.03709	138.479065
165	ホテルルートイン御殿場		御殿場市萩原７１－１	0550-80-3411	35.312477	138.926666
166	ホテルルートイン藤枝駅北		藤枝市青木１－１０－１６	054-645-8000	34.854298	138.249725
167	ホテルルートイン焼津インター		焼津市八楠１－２７－７	054-671-0001	34.881882	138.302719
168	ＫＩＳＥＴＳＵ		函南町塚本８８７－１　伊豆ゲートウェイ函南２Ｆ	055-957-0887	35.077698	138.931534
169	西麓市場		三島市市山新田１４５－２２	055-939-9366	35.135052	138.959763
170	食彩工房		袋井市松原８８８	090-5103-1635	34.688065	137.926208
171	ＲＡＩ４		三島市広小路１２－１１	055-991-2828	35.118847	138.910889
172	極みフーズ		千葉県千葉市緑区おゆみ野中央２－４－１２－４３１１	043-309-4311	35.554226	140.162796
173	くつろぎ酒場　風和里		浜松市東区西塚町３２４－１	053-424-6624	34.71994	137.756973
174	パークコーヒー三島		三島市文教町1-8-24　新幹線三島駅内待合室	055-989-8508	35.12719	138.909882
175	ぱんはうす　ヴィエナ・ブロード		裾野市茶畑201-2	055-993-9285	35.172836	138.911057
176	静鉄ホテルプレジオ沼津		沼津市高島町11-2	055-927-5500	35.105305	138.860764
177	フードストアー　あおき　(11店舗）		沼津市大岡1961-26	055-923-5650	35.121295	138.882766
178	漁港直送さかなや道場　伊豆長岡店(1041)		静岡県伊豆の国市南条724-10	03-5839-2605	35.03994	138.946457
179	漁港直送さかなや道場　岩波店(0655)		静岡県裾野市岩波236-5	03-5839-2605	35.217167	138.918701
180	はなの舞　三島南口店(0504)		三島市一番町13-13三島富士ビル１Ｆ	03-5839-2605	35.125061	138.912979
181	やきとりさくらアスティ三島サウス店(1067)		三島市一番町16-1	03-5839-2605	35.125613	138.9123342
182	むぎのいえ　三島店		三島市中田町9-30　イトーヨーカドー三島店内	055-981-6932	35.11431	138.919415
183	ブ-ランジュール		駿東郡清水町的場6-3　沼津卸団地　食遊市場内	055-983-3007	35.092648	138.908798
184	こむぎ工房　柿田川店		駿東郡清水町玉川61-2　サントムーン柿田川店内	055-981-8847	35.109956	138.90564
185	スマイルベーカリーＢｅｅ　裾野店		裾野市伊豆島田841-6-1	055-995-2380	35.154613	138.905319
186	さかなや道場　三島広小路店		三島市本町9-1　佐伯ビル１Ｆ	055-983-6001	35.119061	138.913223
187	こむぎ工房　富士青島店		富士宮市青島町218　西友富士青島店内	0545-57-6500	35.25145	138.588394
188	ブレッドバスケット沼津店		沼津市高島本町1-5イトーヨーカドー沼津店内	055-923-9835	35.10817	138.857834
189	スマイルベーカリーＢｅｅ　富士店		富士市米之宮町161	0545-62-6766	35.16341	138.656281
190	こむぎ工房　松長店		沼津市松長12-3　西友沼津松長店内	055-968-0678	35.114292	138.819992
191	こむぎ工房　富士今泉店		富士市今泉3-5-1　西友富士今泉店内	0545-57-7511	35.164711	138.696655
192	田子の浦漁業協同組合		富士市前田字新田866-6	0545-61-1004	35.144319	138.681149
193	いちごプラザ　(有)仲原商事		伊豆の国市南江間1788-2	055-946-0666	35.050018	138.922043
194	mogu-mogu		三島市大宮町3-14-14	055-971-2208	35.125805	138.917007
195	駿河ベーカリー＆カフェ　駿河湾沼津S/A下り店		沼津市根古屋字的場770-1-65	055-955-9033	35.144516	138.806656
196	(仮設：牧之原サービスエリア下り線）㈱キャニー		牧之原市静谷字本谷原2545-34	0548-23-7015	34.757771	138.179871
197	パンコネット		三島市松本265-18	055-977-4610	35.087696	138.919052
198	ホテルルートイン富士		富士市永田町2-81-1	0545-55-1255	35.16161	138.670929
199	(株)正悦　海ぼうずグループ		静岡市駿河区南町6-11	054-280-5511	34.969738	138.389694
200	(株)ファミリーマート　三島駅南口		三島市一番町1１２－６		35.124771	138.912567
201	(株)ファミリーマート　三島賀茂川		三島市加茂川町１２－４８		35.126911	138.921604
202	(株)ファミリーマート　清水町伏見		駿東郡清水町伏見５９６－１６		35.11445	138.897357
203	(株)ファミリーマート　三島幸原		三島市幸原町２－３－１３		35.138481	138.912262
204	(株)ファミリーマート　三島長伏		三島市長伏５７－１５		35.09021	138.914612
205	(株)ファミリーマート　三島芝本町		三島市芝本３－７		35.122243	138.91551
206	(株)ファミリーマート　伊豆の国守木		伊豆の国市守木８４４－２		35.018703	138.965256
207	(株)ファミリーマート　韮山中條		伊豆の国市中條４０６－１		35.04291	138.944564
208	(株)ファミリーマート　伊豆の国四日町		伊豆の国市四日町字四五六５１８－１		35.057314	138.942161
209	(株)ファミリーマート　清水町徳倉南		駿東郡清水町徳倉字岩下２１５－８		35.087578	138.900818
210	(株)ファミリーマート　三島梅名北		三島市梅名５８９－４		35.098721	138.926625
211	(株)ファミリーマート　三島梅名		三島市梅名２８５－１		35.090048	138.929543
212	(株)ファミリーマート　三島柳郷地		三島市柳郷地１４		35.115368	138.939682
213	(株)ファミリーマート　宇佐美桜田		伊東市宇佐美桜田１６０２－１２		35.010017	139.072937
214	(株)ファミリーマート　伊東富戸		伊東市富戸１０９１－１５		34.910343	139.123413
215	(株)ファミリーマート　伊東末広町		伊東市末広町７－８		34.964199	139.091171
216	(株)ファミリーマート　伊東玖須美		伊東市玖須美元和田７１６－６1		34.955762	139.109488
217	(株)ファミリーマート　伊東いっぺき湖		伊東市吉田８２３－３		34.933781	139.108475
218	(株)ファミリーマート　伊東川奈		伊東市川奈字一本松１２５９－６２		34.945983	139.132018
219	(株)ファミリーマート　ナカスイ熱海下多賀		熱海市下多賀５６１－１		35.046204	139.072708
220	(株)ファミリーマート　熱海春日町		熱海市春日町１０－１		35.104179	139.079514
221	(株)ファミリーマート　三島中島		三島市中島９５－１５		35.0994	138.932022
222	(株)ファミリーマート　函南平井		田方郡函南町平井１４４０－３９		35.100723	138.968854
223	(株)ファミリーマート　新函南柏谷		田方郡函南町柏谷９１６－５		35.087696	138.95731
224	ちゃる麺		三島市中島６４－８	080-9480-7707	35.096334	138.933406
225	おもてなし居酒屋うまや		裾野市岩波252-1　シャンテール弐番館１号	055-939-6188	35.217167	138.918701
226	居酒屋　饗宴三島駅前店		三島市一番町12-15　第二カツマタビル3Ｆ	055-939-6553	35.125507	138.912842
227	家族庵　		沼津市根古屋998-27　新東名高速道路NEOPASA 2F	055-957-6615	35.153786	138.809586
228	三嶋めでたや		三島市中央町4-17	090-9900-1413	35.12011	138.918381
229	三島街中カフェ		三島市芝本町6-6	055-971-1317	35.12305	138.913879
230	みしまプラザホテル	http://www.mishimaph.co.jp/	三島市本町14-31	055-972-2121	35.119505	138.915467
231	天神屋		焼津市越後島470（広報担当）/静岡市駿河区曲金5-1-1（曲金店）	090-9890-9514	34.883549	138.294022
232	はばないすでい		三島市本町13-4	080-9114-6402	35.119087	138.914963
233	（株）遠鉄ストア（29店）		浜松市中区佐鳴台4-16-10	053-445-1020	34.708294	137.698959
