#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_medicalInstitute
#download_from	http://linkdata.org/work/rdf1s7132i
#property	施設名	施設名（英語）	カテゴリ	電話番号	FAX番号	郵便番号	都道府県名	市区町村名	行政区名	住所	緯度	経度
#object_type_xsd	string:ja	string:en	string:ja	string	string	string	string:ja	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
55	うめな内科循環器科クリニック		診療所	055-984-3110		411-0816	静岡県	三島市		梅名388-7	35.093889	138.928674
56	日野原歯科クリニック		歯科診療所	055-973-1085		411-0837	静岡県	三島市		南田町2-14	35.112686	138.915878
57	平川歯科医院		歯科診療所	055-986-3989		411-0045	静岡県	三島市		萩320-47	35.152543	138.908107
58	星山歯科医院		歯科診療所	055-975-1079		411-0831	静岡県	三島市		東本町1-10-31	35.116368	138.920947
59	みしま勝和クリニック		診療所	055-972-7751		411-0837	静岡県	三島市		南田町 4-65	35.116776	138.915395
60	細川歯科医院		歯科診療所	055-981-3200		411-0852	静岡県	三島市		東町13-26	35.118616	138.923943
61	三宅歯科医院		歯科診療所	055-975-2724		411-0845	静岡県	三島市		加屋町10-20	35.116161	138.906932
62	芙蓉台デンタルクリニック		歯科診療所	055-986-4818		411-0044	静岡県	三島市		徳倉838-42	35.15099	138.912115
63	沼田歯科クリニック		歯科診療所	055-981-0033		411-0023	静岡県	三島市		加茂40-16	35.135931	138.932003
64	ヨシダ歯科医院		歯科診療所	055-977-4511		411-0816	静岡県	三島市		梅名284-12	35.090301	138.92968
65	米山歯科医院		歯科診療所	055-988-0666		411-0025	静岡県	三島市		壱町田51-1	35.132841	138.919716
66	わたなべ歯科		歯科診療所	055-984-1900		411-0816	静岡県	三島市		梅名111-1	35.095423	138.92886
67	渡辺歯科クリニック		歯科診療所	055-980-6655		411-0045	静岡県	三島市		萩188	35.148403	138.908029
68	中郷歯科医院		歯科診療所	055-977-5551		411-0824	静岡県	三島市		長伏42-7	35.090248	138.915985
69	みちこデンタルクリニック		歯科診療所	055-983-2339		411-0036	静岡県	三島市		一番町2-18	35.124202	138.914866
70	浅井歯科診療所		歯科診療所	055-975-0527		411-0855	静岡県	三島市		本町2-9	35.120297	138.914483
71	歯科シズオカクリニック		歯科診療所	055-973-0118		411-0037	静岡県	三島市		泉町1-40	35.121069	138.912235
72	遠藤歯科医院		歯科診療所	055-992-1139		411-0047	静岡県	三島市		佐野191	35.168555	138.922457
73	かたの歯科		歯科診療所	055-973-6111		411-0801	静岡県	三島市		谷田136-29	35.114577	138.930088
74	菊地歯科		歯科診療所	055-981-4090		411-0855	静岡県	三島市		本町2-8	35.120211	138.914432
75	広小路だいとう歯科		歯科診療所	055-975-0214		411-0856	静岡県	三島市		広小路13-10	35.118379	138.911616
76	小野歯科医院		歯科診療所	055-972-8234		411-0845	静岡県	三島市		加屋町3-15	35.116111	138.904358
77	後藤歯科医院		歯科診療所	055-986-8776		411-0033	静岡県	三島市		文教町2-1-17	35.129177	138.915317
78	かげしま歯科		歯科診療所	055-971-2881		411-0801	静岡県	三島市		谷田296-19	35.112484	138.933535
79	サクラ歯科		歯科診療所	055-975-8868		411-0853	静岡県	三島市		大社町8-30	35.120448	138.922414
80	鈴木歯科医院（御園）		歯科診療所	055-977-6678		411-0823	静岡県	三島市		御園77-3	35.080424	138.921583
81	ＳＤＣさいとう歯科クリニック		歯科診療所	055-981-2002		411-0801	静岡県	三島市		谷田夏梅木664-5	35.107058	138.937322
82	斉藤歯科クリニック		歯科診療所	055-977-1110		411-0803	静岡県	三島市		大場164-5	35.092074	138.94024
83	鈴木歯科クリニック		歯科診療所	055-987-5798		411-0044	静岡県	三島市		徳倉921 遠藤ﾏﾝｼｮﾝ	35.145554	138.909647
84	鈴木歯科医院（中央町）		歯科診療所	055-975-0023		411-0858	静岡県	三島市		中央町1-12	35.118551	138.916374
85	栗原歯科医院		歯科診療所	055-975-1078		411-0858	静岡県	三島市		中央町1-31	35.119264	138.91661
86	高木歯科医院		歯科診療所	055-977-8880		411-0824	静岡県	三島市		長伏128-4	35.08612	138.916784
87	三島森田病院		病院	055-986-3337		411-0044	静岡県	三島市		徳倉1195-793	35.155758	138.922484
88	渡辺整形外科		病院	055-987-1550		411-0045	静岡県	三島市		萩188	35.148403	138.908029
89	こばやしペインクリニック		診療所	055-973-0336		411-0036	静岡県	三島市		一番町15-26 ﾐｼﾏｽﾙｶﾞﾋﾞﾙ6F	35.125356	138.911645
90	三島えんどうクリニック		診療所	055-999-0166		411-0025	静岡県	三島市		壱町田76-1	35.133707	138.920504
91	鈴木皮膚科医院		診療所	055-973-1590		411-0848	静岡県	三島市		緑町6-5	35.116964	138.909977
92	田中歯科医院		歯科診療所	055-981-0118		411-0855	静岡県	三島市		本町8-34	35.118741	138.912675
93	アテナ　デンタル　メンテナンス		歯科診療所	055-950-8874		411-0834	静岡県	三島市		新谷18-4	35.103255	138.919164
94	竹花歯科医院		歯科診療所	055-975-1994		411-0831	静岡県	三島市		東本町1-13-23	35.115815	138.923095
95	田村歯科医院		歯科診療所	055-980-1800		411-0044	静岡県	三島市		徳倉1-12-31	35.140698	138.914756
96	鳥居歯科医院		歯科診療所	055-988-3030		411-0029	静岡県	三島市		光ヶ丘1-49-5	35.135146	138.923616
97	中村歯科医院		歯科診療所	055-971-3411		411-0858	静岡県	三島市		中央町3-7	35.119231	138.917594
98	ヒロ歯科医院		歯科診療所	055-977-8241		411-0816	静岡県	三島市		梅名516-3	35.095923	138.925426
99	長野歯科医院		歯科診療所	055-975-2740		411-0857	静岡県	三島市		芝本町5-29	35.122149	138.914384
100	にしはら歯科		歯科診療所	055-971-1177		411-0842	静岡県	三島市		南町17-18	35.111679	138.914579
101	半田歯科医院		歯科診療所	055-977-1234		411-0803	静岡県	三島市		大場126	35.091997	138.938853
102	吉村歯科医院		歯科診療所	055-972-1188		411-0854	静岡県	三島市		北田町3-55	35.11692	138.918308
103	白井歯科医院		歯科診療所	055-986-7191		411-0032	静岡県	三島市		末広町1-5	35.135006	138.912554
104	杉山矯正歯科　		歯科診療所	055-973-6480		411-0856	静岡県	三島市		広小路町13-4ウエルシア3階	35.118656	138.911718
105	北岡歯科医院		歯科診療所	055-972-8119		411-0856	静岡県	三島市		広小路町5-9	35.119152	138.910591
106	すぎやま歯科クリニック		歯科診療所	055-982-0418		411-0803	静岡県	三島市		大場575-1	35.094916	138.946758
107	杉山歯科医院		歯科診療所	055-971-3230		411-0817	静岡県	三島市		八反畑132-7	35.099165	138.921245
108	三島心療内科クリニック		診療所	055-973-5234		411-0039	静岡県	三島市		寿町3-39 田代ﾋﾞﾙ3F	35.124917	138.908003
109	いづの里クリニック		診療所	055-984-3222		411-0822	静岡県	三島市		松本294-3	35.092544	138.916808
110	かまた歯科クリニック		歯科診療所	055-980-5505		411-0033	静岡県	三島市		文教町1-1-35	35.128252	138.914824
111	文教町クリニック		診療所	055-988-7531		411-0033	静岡県	三島市		文教町2-1-29	35.128868	138.915382
112	おのえクリニック		診療所	055-941-9317		411-0855	静岡県	三島市		本町1-42	35.1199	138.914909
113	たけなか三島東町クリニック		診療所	055-955-7701		411-0852	静岡県	三島市		東町1-21	35.117438	138.923219
114	ちゅらゆりクリニック		診療所	055-986-5050		411-0033	静岡県	三島市		文教町1-2-14	35.129065	138.914607
115	しんゆう歯科		歯科診療所	055-955-7801		411-0822	静岡県	三島市		松本391-10	35.096063	138.915716
116	みしま岡クリニック		診療所	055-983-6111		411-0036	静岡県	三島市		一番町13-11 ﾋﾙﾄｯﾌﾟ壱番町2階	35.124835	138.913003
117	三島レディースクリニック		診療所	055-991-0770		411-0841	静岡県	三島市		南本町15-35	35.116692	138.915408
118	さなだ消化器・乳腺クリニック		診療所	055-987-6633		411-0045	静岡県	三島市		萩259-4	35.148699	138.909073
119	川島胃腸科外科クリニック		診療所	055-976-2555		411-0822	静岡県	三島市		松本4-6	35.097596	138.916505
120	いのうえ内科・リウマチ科		診療所	055-972-6666		411-0821	静岡県	三島市		平田185-31	35.097843	138.915852
121	桜ヶ丘こどもクリニック		診療所	055-983-0833		411-0801	静岡県	三島市		谷田523-7	35.110426	138.934693
122	関眼科胃腸科医院		診療所	055-975-2381		411-0831	静岡県	三島市		東本町2-4-30	35.114555	138.925231
123	友デンタルクリニック		歯科診療所	055-955-9022		411-0039	静岡県	三島市		寿町5-7 M･F･N Eternity001F	35.124382	138.907486
124	おおはしこどもクリニック		診療所	055-975-0070		411-0831	静岡県	三島市		東本町1-2-29	35.117016	138.91998
125	三島駅前消化器・肝臓内科クリニック		診療所	055-981-0012		411-0036	静岡県	三島市		一番町15-21 ﾏｽﾀﾞﾋﾞﾙ2F	35.125331	138.912218
126	関野医院		診療所	055-972-5585		411-0039	静岡県	三島市		寿町9-23	35.1245143	138.9085696
127	みしま南口クリニック		診療所	055-991-5255		411-0036	静岡県	三島市		一番町15-19TGビル５階	35.1253479	138.912314
128	田中耳鼻咽喉科医院		診療所	055-975-0226		411-0858	静岡県	三島市		中央町6-24	35.1213639	138.9167631
129	山内眼科		診療所	055-975-8338		411-0838	静岡県	三島市		中田町9-1	35.1142928	138.9187821
130	森皮膚科		診療所	055-943-6100		411-0855	静岡県	三島市		本町3-29三島本町タワー３階	35.1193744	138.9135756
131	本橋耳鼻咽喉科医院		診療所	055-972-1133		411-0831	静岡県	三島市		東本町1-6-12	35.1165408	138.9203988
132	永井眼科		診療所	055-980-1777		411-0045	静岡県	三島市		萩283-1	35.1501301	138.9088127
133	土と光ともりの歯医者さん		歯科診療所	055-973-2358		411-0833	静岡県	三島市		中101-1	35.1053767	138.9301493
