#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_aed
#download_from	http://linkdata.org/work/rdf1s1732i
#property	市区町村コード	都道府県名	市区町村名	名称	名称_カナ	区分	住所	方書	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat	設置位置	電話番号	法人番号	団体名	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	URL	備考
#object_type_xsd	string	string	string	string	string	string	string	string	float	float	string	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_aed_19	222062	静岡県	三島市	金木内科・消化器科クリニック	カネキナイカ・ショウカキカクリニック	医療機関	静岡県三島市川原ヶ谷１７７－１		138.928331	35.122006	内視鏡室	055-971-3211				〔時間〕 8:30	18:00			
msm_aed_20	222062	静岡県	三島市	株式会社　フジコー　三島スカイウォーク	カブシキカイシャ　フジコー　ミシマスカイウォーク	観光施設	静岡県三島市笹原新田313		138.9823595	35.1501538	南ゲート/北エリア事務所	055-９７２－００５０  （スカイウォーク内　事務所）				〔時間〕 9:00	1899-12-31 17:00:00			
msm_aed_21	222062	静岡県	三島市	加茂保育園	カモホイクエン	保育園	静岡県三島市加茂24-7		138.9318387	35.1349791		055-972-0332								
msm_aed_22	222062	静岡県	三島市	加和太建設　株式会社	カワタケンセツ　カブシキカイシャ	その他	静岡県三島市文教町1-5-15		138.9097464	35.1281516	一階ロビー	055-977-8081				〔時間〕 8:00	1899-12-31 17:00:00			
msm_aed_23	222062	静岡県	三島市	北上文化プラザ	キタウエブンカプラザ	公共機関	静岡県三島市三島市萩312		138.909212	35.150631		055-987-5950								
msm_aed_24	222062	静岡県	三島市	北上保育園	キタウエホイクエン	保育園	静岡県三島市徳倉４丁目１０－３		138.91176	35.14231	玄関入口中	055-987-9101				〔時間〕 (土)8:00~15:45(平)7:00~19:00				
msm_aed_25	222062	静岡県	三島市	栗原歯科医院	クリハラシカイイン	医療機関	静岡県三島市中央町１－３１		138.916637	35.119264	診療室	055-975-1078				〔時間〕 9:00	18:30			
msm_aed_26	222062	静岡県	三島市	恵明キッズ　サクラビレッジ	ケイメイキッズ　サクラビレッジ	保育園	静岡県三島市文教町二丁目２８－６		138.9170293	35.1360402	玄関	055-943-6876				〔時間〕 7:00	1899-12-31 19:00:00			
msm_aed_27	222062	静岡県	三島市	恵明保育園	ケイメイホイクエン	保育園	静岡県三島市谷田2143		138.9377304	35.1157335		055-975-1940								
msm_aed_28	222062	静岡県	三島市	県立三島北高等学校	ケンリツミシマキタコウトウガッコウ	高校	静岡県三島市文教町１丁目３－１８		138.913236	35.129763	北校舎グランド側出口	055-986-0107				〔時間〕 8:10	16:40			
msm_aed_29	222062	静岡県	三島市	県立三島南高等学校	ケンリツミシマミナミコウトウガッコウ	高校	静岡県三島市大場　６０８		138.944929	35.095175	体育館１階	055-977-8333				〔時間〕 8:20	17:05			
msm_aed_30	222062	静岡県	三島市	公益財団法人　佐野美術館	コウエキザイダンホウジン　サノビジュツカン	観光施設	静岡県三島市中田町１－４３		138.915907	35.115038	１階事務所内	055-975-7278				〔時間〕10:00	1899-12-31 17:00:00			
msm_aed_31	222062	静岡県	三島市	極楽湯　三島店	ゴクラクユ　ミシマテン	その他	静岡県三島市三好町4-23		138.9074568	35.1107169	受付カウンター横	055-991-4126				〔時間〕 9:00	1899-12-31 02:00:00			
msm_aed_32	222062	静岡県	三島市	国立遺伝学研究所	コクリツイデンガクケンキュウジョ	公共機関	静岡県三島市谷田１１１１		138.938502	35.117829	研究実験棟1階  生命情報・DDBJ研究センター1階  系統生物科学センター１階  本館１階	055-981-6725				〔時間〕 8:30	17:15			
msm_aed_33	222062	静岡県	三島市	後藤医院	ゴトウイイン	医療機関	静岡県三島市梅名４４２－３		138.925381	35.093929	診察室	055-977-3115				〔時間〕 9:00	18:00			
msm_aed_34	222062	静岡県	三島市	こばやしペインクリニック	コバヤシペインクリニック	医療機関	静岡県三島市一番町１５－２６　ｽﾙｶﾞﾋﾞﾙ6Ｆ		138.911701	35.125411	治療室	055-973-0336				〔時間〕 9:30	12:30			
msm_aed_35	222062	静岡県	三島市	小山消化器内科	コヤマショウカキナイカ	医療機関	静岡県三島市長伏２２６－１		138.915601	35.085896	診察室	055-977-2121				〔時間〕 9:00	17:00			
msm_aed_36	222062	静岡県	三島市	坂公民館	サカコウミンカン	公共機関	静岡県三島市三ツ谷新田125		138.962148	35.13821		055-972-6676								
msm_aed_37	222062	静岡県	三島市	さなだ消化器・乳腺クリニック	サナダショウカキ・ニュウセンクリニック	医療機関	静岡県三島市萩259-4		138.9091718	35.1487318	受付奥	055-987-6633				〔時間〕 9:00	1899-12-31 18:00:00			
msm_aed_38	222062	静岡県	三島市	山九株式会社　静岡支店　三島倉庫	サンキュウカブシキガイシャ　シズオカシテン　ミシマソウコ	その他	静岡県三島市安久72番地-1		138.925284	35.087274	事務所入り口	055-977-2000				〔時間〕8:00	1899-12-31 17:00:00			
msm_aed_39	222062	静岡県	三島市	三光ダイカスト工業所　松本工場	サンコウダイカストコウギョウショ　マツモトコウジョウ	その他	静岡県三島市松本113番地-１		138.921422	35.089249	1階事務所　階段前	055-977-4585				〔時間〕8:00	1899-12-31 17:00:00			
msm_aed_40	222062	静岡県	三島市	静岡恵明学園赤ちゃんセンター	シズオカケイメイガクエンアカチャンセンター	福祉施設	静岡県三島市谷田２１４３番地		138.9377304	35.1157335	玄関	055-975-1940				〔時間〕 8:00	1899-12-31 18:00:00			
msm_aed_41	222062	静岡県	三島市	静岡県総合健康センター	シズオカケンソウゴウケンコウセンター	公共機関	静岡県三島市谷田２２７６		138.952793	35.122146	１階ｴﾝﾄﾗﾝｽﾎｰﾙ	055-973-7000				〔時間〕 8:30	21:00			
msm_aed_42	222062	静岡県	三島市	静岡県東部理容美容専門学校	シズオカケントウブリヨウビヨウセンモンガッコウ	その他	静岡県三島市寿町３番４２号		138.908424	35.125016	正面玄関ホール	055-975-2236				〔時間〕8:30	1899-12-31 17:00:00			
msm_aed_43	222062	静岡県	三島市	静岡県立三島長陵高等学校	シズオカケンリツミシマチョウリョウコウトウガッコウ	高校	静岡県三島市文教町１丁目３－９３		138.91168	35.128675	玄関ロビー・正面玄関	055-986-2000				〔時間〕 8:30	21:15			
msm_aed_44	222062	静岡県	三島市	静岡県労働金庫　三島支店	シズオカケンロウドウキンコ　ミシマシテン	金融機関	静岡県三島市大宮町３－１７－１１		138.916556	35.126661	ＡＴＭコーナー	055-973-9111				〔時間〕 09:00	1899-12-31 15:00:00			
msm_aed_45	222062	静岡県	三島市	静岡コンサルタント　株式会社	シズオカコンサルタント　カブシキカイシャ	その他	静岡県三島市多呂128番地		138.9248573	35.1245395	本社社屋ロビー	055-987-5544				〔時間〕 8:30	1899-12-31 17:30:00			
msm_aed_46	222062	静岡県	三島市	宗教法人　願成寺	シュウキョウホウジン　ガンジョウジ	その他	静岡県三島市川原ヶ谷１８番		138.924758	35.12456	玄関前ホール（屋外）	055-975-1763				〔時間〕24時間				
msm_aed_47	222062	静岡県	三島市	昭和油業（株）エクスプレス三島・谷田ＳＳ	ショウワユギョウカブエクスプレスミシマ・ヤタＳＳ	商店等	静岡県三島市谷田５８－２		138.928889	35.117859	事務所内	055-975-5532				〔時間〕 24時間				
msm_aed_48	222062	静岡県	三島市	市立北上小学校	シリツキタウエショウガッコウ	小学校	静岡県三島市徳倉844－1		138.913558	35.149354		055-987-4646								
msm_aed_49	222062	静岡県	三島市	市立北上中学校	シリツキタウエチュウガッコウ	中学校	静岡県三島市徳倉767－2		138.916905	35.152951		055-986-8766								
msm_aed_50	222062	静岡県	三島市	市立北小学校	シリツキタショウガッコウ	小学校	静岡県三島市文教町1‐4－8		138.912967	35.131457		055-986-0512								
msm_aed_51	222062	静岡県	三島市	市立北中学校	シリツキタチュウガッコウ	中学校	静岡県三島市文教町2－32－60		138.915263	35.130667		055-986-0684								
msm_aed_52	222062	静岡県	三島市	市立坂小学校	シリツサカショウガッコウ	小学校	静岡県三島市市山新田163－2		138.961706	35.136782		055-971-1231								
msm_aed_53	222062	静岡県	三島市	市立佐野小学校	シリツサノショウガッコウ	小学校	静岡県三島市佐野238		138.924029	35.168651		055-993-3310								
msm_aed_54	222062	静岡県	三島市	市立沢地小学校	シリツサワジショウガッコウ	小学校	静岡県三島市沢地127－1		138.926454	35.140566		055-986-9433								
msm_aed_55	222062	静岡県	三島市	市立徳倉小学校	シリツトクラショウガッコウ	小学校	静岡県三島市徳倉4－1－45		138.913262	35.142283		055-986-0180								
msm_aed_56	222062	静岡県	三島市	市立中郷小学校	シリツナカザトショウガッコウ	小学校	静岡県三島市梅名453		138.927827	35.095087		055-977-1052								
msm_aed_57	222062	静岡県	三島市	市立中郷中学校	シリツナカザトチュウガッコウ	中学校	静岡県三島市大場250－1		138.935659	35.093788		055-977-1144								
msm_aed_58	222062	静岡県	三島市	市立中郷西中学校	シリツナカザトニシチュウガッコウ	中学校	静岡県三島市梅名854－1		138.922935	35.090066		055-977-4707								
msm_aed_59	222062	静岡県	三島市	市立長伏小学校	シリツナガブセショウガッコウ	小学校	静岡県三島市長伏226－5		138.915081	35.085641		055-977-2424								
msm_aed_60	222062	静岡県	三島市	市立錦田小学校	シリツニシキダショウガッコウ	小学校	静岡県三島市谷田966		138.935981	35.113063		055-975-0042								
msm_aed_61	222062	静岡県	三島市	市立錦田中学校	シリツニシキダチュウガッコウ	中学校	静岡県三島市谷田1505		138.938427	35.121857		055-975-1093								
msm_aed_62	222062	静岡県	三島市	市立西小学校	シリツニシショウガッコウ	小学校	静岡県三島市緑町7－7		138.909223	35.116482		055-975-0416								
msm_aed_63	222062	静岡県	三島市	市立東小学校	シリツヒガシショウガッコウ	小学校	静岡県三島市市東町10－1		138.924691	35.117715		055-975-0110								
msm_aed_64	222062	静岡県	三島市	市立南小学校	シリツミナミショウガッコウ	小学校	静岡県三島市富田町6－1		138.917538	35.109704		055-975-0225								
msm_aed_65	222062	静岡県	三島市	市立南中学校	シリツミナミチュウガッコウ	中学校	静岡県三島市富田町6－18		138.917876	35.10882		055-975-0980								
msm_aed_66	222062	静岡県	三島市	市立向山小学校	シリツムカイヤマショウガッコウ	小学校	静岡県三島市谷田1946		138.938384	35.10462		055-971-0707								
msm_aed_67	222062	静岡県	三島市	市立山田小学校	シリツヤマダショウガッコウ	小学校	静岡県三島市川原ケ谷812		138.933996	35.133211		055-973-0131								
msm_aed_68	222062	静岡県	三島市	市立山田中学校	シリツヤマダチュウガッコウ	中学校	静岡県三島市川原ケ谷842－4		138.935788	35.135098		055-981-2474								
msm_aed_69	222062	静岡県	三島市	鈴木歯科クリニック	スズキシカクリニック	医療機関	静岡県三島市徳倉９２１		138.909706	35.145683	待合室	055-987-5798				〔時間〕 9:00	18:30			
msm_aed_70	222062	静岡県	三島市	スルガ銀行　三島セントラル支店	スルガギンコウ　ミシマセントラルシテン	金融機関	静岡県三島市一番町15番26号		138.911597	35.125409	１階ロビー	055-971-1212				〔時間〕09:00	1899-12-31 15:00:00			
msm_aed_71	222062	静岡県	三島市	静甲㈱　三島工場	セイコウ㈱　ミシマコウジョウ	その他	静岡県三島市松本　２７０		138.91735	35.088429	玄関入口	055-977-1515				〔時間〕 8:15	17:00			
msm_aed_72	222062	静岡県	三島市	セブンイレブン　三島玉川店	セブンイレブン　ミシマタマガワテン	商店等	静岡県三島市玉川　２５４－１		138.912948	35.1090461		055-975-7817								
msm_aed_73	222062	静岡県	三島市	セブンイレブン　三島松本南店	セブンイレブン　ミシママツモトミナミテン	商店等	静岡県三島市松本２５５－１		138.919206	35.086774		055-977-7323								
msm_aed_74	222062	静岡県	三島市	セブンイレブン　三島南本町店	セブンイレブン　ミシマミナミホンチョウテン	商店等	静岡県三島市南本町１－１		138.914781	35.118443		055-981-7054								
msm_aed_75	222062	静岡県	三島市	セブンイレブン　三島安久店	セブンイレブン　ミシマヤスヒサテン	商店等	静岡県三島市安久　３７９－１		138.9306828	35.0858336		055-977-2134								
msm_aed_76	222062	静岡県	三島市	セブンイレブン　三島大場駅前店	セブンイレブン　ミシマダイバエキマエテン	商店等	静岡県三島市大場９２－１		138.938277	35.091909		055-982-6778								
msm_aed_77	222062	静岡県	三島市	セブンイレブン　三島南二日町店	セブンイレブン　ミシマミナミフツカマチテン	商店等	静岡県三島市南二日町２０－５		138.927001	35.110667		055-971-5126								
msm_aed_78	222062	静岡県	三島市	セブンイレブン　三島加屋町店	セブンイレブン　ミシマカヤマチテン	商店等	静岡県三島市加屋町５－４		138.905967	35.116016		055-976-0808								
msm_aed_79	222062	静岡県	三島市	セブンイレブン　三島加茂店	セブンイレブン　ミシマカモテン	商店等	静岡県三島市若松町４３６４－１		138.923959	35.128986		055-972-3494								
msm_aed_80	222062	静岡県	三島市	セブンイレブン　三島幸原店	セブンイレブン　ミシマコウバラテン	商店等	静岡県三島市幸原町１－１－１０		138.912933	35.135034		055-989-5081								
msm_aed_81	222062	静岡県	三島市	セブンイレブン　三島三好町店	セブンイレブン　ミシマミヨシチョウテン	商店等	静岡県三島市三好町２６４－８２		138.909395	35.109974		055-976-1267								
msm_aed_82	222062	静岡県	三島市	セブンイレブン　三島青木店	セブンイレブン　ミシマアオキテン	商店等	静岡県三島市青木２７９－７		138.920488	35.108131		055-981-7755								
msm_aed_83	222062	静岡県	三島市	セブンイレブン　三島大場北店	セブンイレブン　ミシマダイバキタテン	商店等	静岡県三島市大場４１９－８		138.942032	35.093929		055-982-5076								
msm_aed_84	222062	静岡県	三島市	セブンイレブン　三島谷田南店	セブンイレブン　ミシマヤタミナミテン	商店等	静岡県三島市谷田５０７－４９		138.93435	35.110448		055-973-6655								
msm_aed_85	222062	静岡県	三島市	セブンイレブン　三島谷田北店	セブンイレブン　ミシマヤタキタテン	商店等	静岡県三島市谷田５３－１		138.928599	35.117794		055-981-3020								
msm_aed_86	222062	静岡県	三島市	セブンイレブン　三島中田町店	セブンイレブン　ミシマナカタマチテン	商店等	静岡県三島市中田町１１－４－Ａ－Ａ		138.917838	35.114862		055-976-2400								
msm_aed_87	222062	静岡県	三島市	セブンイレブン　三島日の出町店	セブンイレブン　ミシマヒノデマチテン	商店等	静岡県三島市日の出町６－６		138.923163	35.121113		055-973-0788								
msm_aed_88	222062	静岡県	三島市	セブンイレブン　三島文教町店	セブンイレブン　ミシマブンキョウチョウテン	商店等	静岡県三島市文教町２－１－２１		138.914598	35.12907		055-986-3330								
msm_aed_89	222062	静岡県	三島市	セブンイレブン　三島平田店	セブンイレブン　ミシマヒラタテン	商店等	静岡県三島市平田１６６－１		138.915499	35.100409		055-981-8700								
msm_aed_90	222062	静岡県	三島市	セブンイレブン　三島北上店	セブンイレブン　ミシマキタウエテン	商店等	静岡県三島市徳倉４－２４－１６		138.910022	35.145573		055-986-9333								
msm_aed_91	222062	静岡県	三島市	芹沢病院	セリザワビョウイン	医療機関	静岡県三島市幸原町2丁目３－１		138.912361	35.137954	外来・新病棟３階リハ室	055-986-1075				〔時間〕 8:30	18:00			
msm_aed_92	222062	静岡県	三島市	第一段ボール（株）	ダイイチダンボールカブ	その他	静岡県三島市南二日町２８－５８		138.921588	35.111563	事務所入口	055-975-5385				〔時間〕 8:00	17:00			
msm_aed_93	222062	静岡県	三島市	大場幼稚園	ダイバヨウチエン	幼稚園	静岡県三島市大場３６５		138.943201	35.097887		055-977‐1347								
msm_aed_94	222062	静岡県	三島市	田内内科医院	タウチナイカイイン	医療機関	静岡県三島市東本町１丁目１６－３０		138.920502	35.117162	事務室					〔時間〕 9:00	19:00			
msm_aed_95	222062	静岡県	三島市	田中産婦人科医院	タナカサンフジンカイイン	医療機関	静岡県三島市中央町６－２３		138.916926	35.121304	手術室	055-971-3541				〔時間〕 月･水･金9:00 ~ 17:00       火･木･土9:00 ~ 12:00				
msm_aed_96	222062	静岡県	三島市	田村歯科医院	タムラシカイイン	医療機関	静岡県三島市徳倉１丁目１２－３１		138.914743	35.140691	待合室	055-980-1800				〔時間〕 9:30	18:00			
msm_aed_97	222062	静岡県	三島市	デニーズ　三島北店	デニーズ　ミシマキタテン	商店等	静岡県三島市萩　２６８－２		138.908333	35.149047		055-988-9890								
msm_aed_98	222062	静岡県	三島市	デニーズ　三島玉川店	デニーズ　ミシマタマガワテン	商店等	静岡県三島市玉川　２４２－２		138.914995	35.10986		055-981-2821								
msm_aed_99	222062	静岡県	三島市	電業社機械製作所（株）	デンギョウシャキカイセイサクショカブ	その他	静岡県三島市三好町３－２７		138.907882	35.111641	技術館１Fエントランス	055-975-8221				〔時間〕  8:00	16:40			
msm_aed_100	222062	静岡県	三島市	東栄電機（株）	トウエイデンキカブ	その他	静岡県三島市松本１３１		138.9206107	35.0880769	事務所	055-977-4111				〔時間〕 8:00	1899-12-31 16:45:00			
msm_aed_101	222062	静岡県	三島市	東海旅客鉄道（株）　三島駅	トウカイリョキャクテツドウカブ　ミシマエキ	その他	静岡県三島市一番町　１６－１		138.9119	35.126067	南口改札／北口改札／新幹線ホーム／在来線上り	055-975-0203				〔時間〕 5:00	24:50			
msm_aed_102	222062	静岡県	三島市	東芝テック（株）静岡事業所	トウシバテックカブシズオカジギョウショ	その他	静岡県三島市南町　６－７８		138.910899	35.112624	正門警備室他三ヶ所	055-976-7011				〔時間〕 8:30	17:00			
msm_aed_103	222062	静岡県	三島市	ドーミーイン三島	ドーミーインミシマ	その他	静岡県三島市大宮町３丁目１８－３３		138.914893	35.126547	ホテルエントランス　　１２Ｆエレベーター前	055-991-5489				〔時間〕24時間				
msm_aed_104	222062	静岡県	三島市	特別養護老人ホーム　いづテラス	トクベツヨウゴロウジンホーム　イヅテラス	福祉施設	静岡県三島市松本２９２－１		138.917409	35.092419	施設玄関ボックス内	055-982-5111				〔時間〕  終日				
msm_aed_105	222062	静岡県	三島市	特別養護老人ホーム　御寿園	トクベツヨウゴロウジンホーム　オンコトブキエン	福祉施設	静岡県三島市御園５８０		138.923541	35.078205	正面玄関	055-977-6200				〔時間〕 8:30	17:30			
msm_aed_106	222062	静岡県	三島市	特別養護老人ホーム　玉澍園	トクベツヨウゴロウジンホーム　タマジュエン	福祉施設	静岡県三島市玉沢３９３		138.9611	35.12219	１階医務室	055-973-0011				〔時間〕 24時間				
msm_aed_107	222062	静岡県	三島市	鳥居歯科医院	トリイシカイイン	医療機関	静岡県三島市光ヶ丘１－４９－５		138.923621	35.135076	診療室	055-988-3030				〔時間〕 9:00 ~ 13:00 14:00 ~ 18:00				
msm_aed_108	222062	静岡県	三島市	ないとう歯科医院	ナイトウシカイイン	医療機関	静岡県三島市徳倉８７６－２６		138.910382	35.149179	待合室	055-988-9087				〔時間〕 9:30	19:00			
msm_aed_109	222062	静岡県	三島市	中郷歯科医院	ナカサトシカイイン	医療機関	静岡県三島市長伏４２－７		138.916004	35.090417	診療室	055-977-5551				〔時間〕 9:00	19:00			
msm_aed_110	222062	静岡県	三島市	中郷西保育園	ナカザトニシホイクエン	保育園	静岡県三島市長伏121-7		138.9153264	35.0861304		055-977-4157								
msm_aed_111	222062	静岡県	三島市	中郷文化プラザ	ナカザトブンカプラザ	公共機関	静岡県三島市梅名353－1		138.924437	35.091787		055-982-5100								
msm_aed_112	222062	静岡県	三島市	中郷南保育園	ナカサトミナミホイクエン	保育園	静岡県三島市安久309-6		138.9318908	35.0874786		055-977-2182								
msm_aed_113	222062	静岡県	三島市	にこパル	ニコパル	公共機関	静岡県三島市梅名２５		138.927965	35.1002224		055-977-4969								
msm_aed_114	222062	静岡県	三島市	錦田公民館	ニシキダコウミンカン	公共機関	静岡県三島市谷田973－1		138.936485	35.113844		055-973-0308								
msm_aed_115	222062	静岡県	三島市	日本光電南関東（株）　三島営業所	ニホンコウデンミナミカントウカブ　ミシマエイギョウショ	その他	静岡県三島市八反畑１０３－９		138.923846	35.100437	１階　階段前	055-973-1270				〔時間〕  9:00	17:40			
msm_aed_116	222062	静岡県	三島市	日本大学国際関係学部・日本大学三島高等学校・中学校	ニホンダイガクコクサイカンケイガクブ・ニホンダイガクミシマコウトウガッコウ・チュウガッコウ	大学	静岡県三島市文教町2丁目３１－１４５		138.915038	35.1315	守衛室の奥、他９か所	055-980-0801				〔時間〕 9:00	17:00			
msm_aed_117	222062	静岡県	三島市	日本年金機構　三島年金事務所	ニホンネンキンキコウ　ミシマネンキンジムショ	公共機関	静岡県三島市寿町９－４４		138.9083641	35.1233444	建物１階通路	055-973-1166				〔時間〕8:30	1899-12-31 17:15:00			
msm_aed_118	222062	静岡県	三島市	沼津信用金庫　三島支店	ヌマヅシンヨウキンコ　ミシマシテン	金融機関	静岡県三島市寿町９－２７		138.9080382	35.1243698	ＡＴＭコーナー	055-962-5200				〔時間〕 8:30	1899-12-31 17:30:00			
msm_aed_119	222062	静岡県	三島市	のびる幼稚園	ノビルヨウチエン	幼稚園	静岡県三島市青木１６４		138.924136	35.101829	玄関	055-972-8740				〔時間〕 7:40	17:00			
msm_aed_120	222062	静岡県	三島市	パチンコ　フジコー長伏店	パチンコ　フジコーナガフテン	その他	静岡県三島市長伏５５７		138.910918	35.088099	景品カウンター	055-984-4777				〔時間〕  9:00	22:30			
msm_aed_121	222062	静岡県	三島市	パチンコ　フジコー三島店	パチンコ　フジコーミシマテン	その他	静岡県三島市壱町田６－１		138.9211539	35.1289179	パチンコホール内	055-988-8484				〔時間〕  9:00	22:30			
msm_aed_122	222062	静岡県	三島市	ピーターパン幼稚園	ピーターパンヨウチエン	幼稚園	静岡県三島市芙蓉台２丁目２－１		138.915537	35.153385	職員室	055-988-0826				〔時間〕 8:00	17:00			
msm_aed_123	222062	静岡県	三島市	東レフィルム加工（株）　三島工場	トウレフィルムカコウカブ　ミシマコウジョウ	その他	静岡県三島市長伏３３－１		138.915296	35.091207	工場南門守衛所	055-977-0700				〔時間〕  終日				
msm_aed_124	222062	静岡県	三島市	東レフィルム加工（株）　三島工場	トウレフィルムカコウカブ　ミシマコウジョウ	その他	静岡県三島市長伏３３－1		138.915296	35.091207	本館1階ロビー	055-977-0700				〔時間〕  終日				
msm_aed_125	222062	静岡県	三島市	東レ（株）　総合研修センター	トウレカブ　ソウゴウケンシュウセンター	その他	静岡県三島市末広町２１－９		138.911465	35.135076	事務所入り口の　　キャビネット内	055-980-0333				〔時間〕 8:30	17:00			
msm_aed_126	222062	静岡県	三島市	東レ（株）　東レ体育館	トウレカブ　トウレタイイクカン	その他	静岡県三島市末広町２３－１４		138.911042	35.136002	事務所入口	055-989-2412				〔時間〕 8:30	15:00			
