#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_public_facilities
#download_from	http://linkdata.org/work/rdf1s1759i
#property	http://www.w3.org/2000/01/rdf-schema#label	address	zip_code	telephone	URL	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat
#object_type_xsd	string	string	string	string	string	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_pfaci_060	放送大学静岡学習センター	三島市文教町1丁目3-93	411-0033	055-989-1253	http://www.city.mishima.shizuoka.jp/ipn007297.html	138.911573	35.128754
msm_pfaci_061	市立東幼稚園	三島市東町10-12	411-0852	055-975-2044	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000031.html	138.924587	35.117377
msm_pfaci_062	市立西幼稚園	三島市栄町2-19	411-0846	055-975-1382	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000032.html	138.908534	35.119996
msm_pfaci_063	市立南幼稚園	三島市青木265	411-0811	055-975-6922	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000033.html	138.918909	35.107659
msm_pfaci_064	市立北幼稚園	三島市文教町1丁目4-1	411-0033	055-986-2032	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000034.html	138.913313	35.130945
msm_pfaci_065	市立錦田幼稚園	三島市谷田271-1	411-0801	055-975-4853	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000035.html	138.934036	35.113778
msm_pfaci_066	市立徳倉幼稚園	三島市徳倉4丁目1-8	411-0044	055-986-7650	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000036.html	138.914204	35.142042000000004
msm_pfaci_067	市立坂幼稚園	三島市市山新田153-1	411-0015	055-972-7699	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000037.html	138.960821	35.137131
msm_pfaci_068	市立松本幼稚園	三島市松本99-1	411-0822	055-977-1904	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000037.html	138.919102	35.08856
msm_pfaci_069	市立大場幼稚園	三島市大場365	411-0803	055-977-1347	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000039.html	138.943295	35.097949
msm_pfaci_070	市立旭ヶ丘幼稚園	三島市旭ヶ丘23-31	411-0020	055-972-2781	https://www.city.mishima.shizuoka.jp/mishima_info/youtien/youtien_top000040.html	138.933291	35.130548
msm_pfaci_071	市立沢地幼稚園	三島市沢地257	411-0043	055-986-1836	https://www.city.mishima.shizuoka.jp/sosiki_shousai15020041000.html	138.927197	35.142656
msm_pfaci_072	私立桜ヶ丘幼稚園	三島市谷田524-1	411-0801	055-973-0222	https://palangel.jp/r2/us/sakuragaoka/	138.934948	35.110808
msm_pfaci_073	私立星園幼稚園	三島市緑町6-14	411-0848	055-975-7535	https://palangel.jp/r2/us/hoshizono/	138.9102224	35.116275
msm_pfaci_074	私立しらゆり幼稚園	三島市徳倉5丁目11-15	411-0044	055-986-7231	https://www.suzuki.ac.jp/shirayuri/	138.915696	35.149416
msm_pfaci_075	私立幼保連携型認定こども園　のびる幼稚園	三島市青木164	411-0811	055-972-8740	http://nobiru-gakuen.moo.jp/	138.923873	35.102074
msm_pfaci_076	私立幼保連携型認定こども園　ピーターパン幼稚園	三島市芙蓉台2丁目2-1	411-0046	055-988-0826	http://www.peterpan.ed.jp/	138.915406	35.153429
msm_pfaci_077	市立加茂川町保育園	三島市加茂川町5-30	411-0034	055-975-3609	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3901.html	138.923833	35.122978
msm_pfaci_078	市立伊豆佐野保育園	三島市佐野110-1	411-0047	055-992-0519	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3902.html	138.92497	35.166636
msm_pfaci_079	市立緑町佐野保育園	三島市緑町12-12	411-0848	055-972-3120	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3903.html	138.910177	35.115377
msm_pfaci_080	市立錦田保育園	三島市谷田271-1	411-0801	055-971-1600	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3904.html	138.934031	35.113774
msm_pfaci_081	市立青木保育園	三島市青木323	411-0811	055-971-5127	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3905.html	138.922725	35.108614
msm_pfaci_082	市立光ケ丘保育園	三島市光ケ丘19-2	411-0029	055-987-5730	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3906.html	138.926081	35.136021
msm_pfaci_083	組合立若葉保育園 （三島函南広域行政組合）	函南町間宮42-1	419-0123	055-978-3261	https://www.city.mishima.shizuoka.jp/mishima_info/hoikuen/hoikuen_top3907.html	138.938738	35.090037
msm_pfaci_084	私立白道保育園	三島市加屋町2-21	411-0845	055-972-2291	https://www.city.mishima.shizuoka.jp/ipn001388.html	138.905581	35.116453
msm_pfaci_085	私立梅の実保育園	三島市梅名47-1	411-0816	055-977-6065	https://www.city.mishima.shizuoka.jp/ipn001389.html	138.928471	35.098103
msm_pfaci_086	私立三島ようらん保育園	三島市梅名553-1	411-0816	055-977-2811	https://www.city.mishima.shizuoka.jp/ipn001393.html	138.923981	35.096799
msm_pfaci_087	私立中郷南保育園	三島市安久309-6	411-0815	055-977-2182	https://www.city.mishima.shizuoka.jp/ipn001392.html	138.93185	35.087496
msm_pfaci_088	私立中郷西保育園	三島市長伏121-7	411-0824	055-977-4157	https://www.city.mishima.shizuoka.jp/ipn001390.html	138.915312	35.086118
msm_pfaci_089	私立加茂保育園	三島市加茂24-7	411-0023	055-972-0332	https://www.city.mishima.shizuoka.jp/ipn001396.html	138.931858	35.134979
msm_pfaci_090	私立北上保育園	三島市徳倉4丁目10-3	411-0044	055-987-9101	https://www.city.mishima.shizuoka.jp/ipn001398.html	138.911822	35.142334
msm_pfaci_091	私立芙蓉台保育園	三島市芙蓉台2丁目3-17	411-0046	055-987-7922	https://www.city.mishima.shizuoka.jp/ipn001394.html	138.918109	35.155072
msm_pfaci_092	私立恵明保育園	三島市谷田（桜ケ丘）2143	411-0801	055-975-1940	https://www.city.mishima.shizuoka.jp/ipn001397.html	138.937746	35.115722
msm_pfaci_093	私立恵明コスモス保育園	三島市谷田1629-38	411-0801	055-973-7778	https://www.city.mishima.shizuoka.jp/ipn007368.html	138.938625	35.124191
msm_pfaci_094	私立恵明キッズサクラビレッジ	三島市文教町2丁目28-6	411-0033	055-943-6878	https://www.city.mishima.shizuoka.jp/ipn009583.html	138.916642	35.135401
msm_pfaci_095	私立まりあ保育園	三島市松本390-1	411-0822	055-939-5353	https://www.city.mishima.shizuoka.jp/ipn032236.html	138.914958	35.096264
msm_pfaci_096	私立フラワー保育園	三島市梅名325-1	411-0816	055-983-8711	https://www.city.mishima.shizuoka.jp/ipn032816.html	138.929946	35.092638
msm_pfaci_097	私立にじいろキッズ保育園	三島市沢地123-12	411-0043	055-919-7923	https://www.city.mishima.shizuoka.jp/ipn032773.html	138.923651	35.139072
msm_pfaci_098	私立小規模保育事業所　すいみー保育園	三島市加屋町10-4	411-0845	055-946-6013	https://www.city.mishima.shizuoka.jp/ipn023226.html	138.906914	35.116517
msm_pfaci_099	静岡恵明学園乳児部	三島市谷田（桜ケ丘）2143	411-0801	055-975-1940	http://www.s-keimei.or.jp/g-honbu.htm	138.937748	35.115736
msm_pfaci_100	静岡恵明学園児童部	三島市笹原新田81-1	411-0012	055-975-4803	http://www.s-keimei.or.jp/g-honbu.htm	138.983558	35.147455
msm_pfaci_101	市立東小学校	三島市東町10-1	411-0852	055-975-0110	http://www.city-mishima.ed.jp/higashi-e/	138.924638	35.117984
msm_pfaci_102	市立西小学校	三島市緑町7-7	411-0848	055-975-0416	http://www.city-mishima.ed.jp/nishi-e/	138.909299	35.116251
msm_pfaci_103	市立南小学校	三島市富田町6-1	411-0836	055-975-0225	http://www.city-mishima.ed.jp/minami-e/	138.917785	35.109781
msm_pfaci_104	市立北小学校	三島市文教町1丁目4-8	411-0033	055-986-0512	http://www.city-mishima.ed.jp/kita-e/	138.913445	35.130904
msm_pfaci_105	市立錦田小学校	三島市谷田966	411-0801	055-975-0042	http://www.city-mishima.ed.jp/nishikida-e/	138.936399	35.11305
msm_pfaci_106	市立徳倉小学校	三島市徳倉4丁目1-45	411-0044	055-986-0180	http://www.city-mishima.ed.jp/tokura-e/	138.913182	35.142292
msm_pfaci_107	市立坂小学校	三島市市山新田163-2	411-0015	055-971-1231	http://www.city-mishima.ed.jp/saka-e/	138.961682	35.13676
msm_pfaci_108	市立佐野小学校	三島市佐野238	411-0047	055-993-3310	http://www.city-mishima.ed.jp/sano-e/	138.924083	35.168559
msm_pfaci_109	市立中郷小学校	三島市梅名453	411-0816	055-977-1052	http://www.city-mishima.ed.jp/nakazato-e/	138.927516	35.094929
msm_pfaci_110	市立沢地小学校	三島市沢地127-1	411-0043	055-986-9433	http://www.city-mishima.ed.jp/sawaji-e/	138.926423	35.140557
msm_pfaci_111	市立向山小学校	三島市谷田1946	411-0801	055-971-0707	http://www.city-mishima.ed.jp/mukaiyama-e/	138.938459	35.10455
msm_pfaci_112	市立北上小学校	三島市徳倉844-1	411-0044	055-987-4646	http://www.city-mishima.ed.jp/kitaue-e/	138.913429	35.149324
msm_pfaci_113	市立山田小学校	三島市川原ケ谷812	411-0022	055-973-0131	http://www.city-mishima.ed.jp/yamada-e/	138.934125	35.133282
msm_pfaci_114	市立長伏小学校	三島市長伏226-5	411-0824	055-977-2424	http://www.city-mishima.ed.jp/nagabuse-e/	138.914598	35.085378
msm_pfaci_115	市立南中学校	三島市富田町6-18	411-0836	055-975-0980	http://www.city-mishima.ed.jp/minami-j/	138.917956	35.108833
msm_pfaci_116	市立北中学校	三島市文教町2丁目32-60	411-0033	055-986-0684	http://www.city-mishima.ed.jp/kita-j/	138.915306	35.130658
msm_pfaci_117	市立錦田中学校	三島市谷田1505	411-0801	055-975-1093	http://www.city-mishima.ed.jp/nishikida-j/	138.938757	35.121514
msm_pfaci_118	市立中郷中学校	三島市大場250-1	411-0803	055-977-1144	http://www.city-mishima.ed.jp/nakazato-j/	138.93597	35.093867
msm_pfaci_119	市立中郷西中学校	三島市梅名854-1	411-0816	055-977-4707	http://www.city-mishima.ed.jp/nakazatonishi-j/	138.922677	35.089759
msm_pfaci_120	市立北上中学校	三島市徳倉767-2	411-0044	055-986-8766	http://www.city-mishima.ed.jp/kitaue-j/	138.916822	35.152868
msm_pfaci_121	市立山田中学校	三島市川原ケ谷842-4	411-0022	055-981-2474	http://www.city-mishima.ed.jp/yamada-j/	138.935715	35.134789
msm_pfaci_122	東放課後児童クラブ	三島市東町10-1	411-0852	055-972-7393	https://www.city.mishima.shizuoka.jp/ipn000317.html	138.924611	35.117987
msm_pfaci_123	西放課後児童クラブ	三島市緑町7-7	411-0848	055-976-1259	https://www.city.mishima.shizuoka.jp/ipn000271.html	138.909299	35.116251
msm_pfaci_124	南放課後児童クラブ（第一、第二、第三）	三島市富田町6-1	411-0836	055-975-0596	https://www.city.mishima.shizuoka.jp/ipn000174.html	138.917884	35.109744
msm_pfaci_125	北放課後児童クラブ（第一、第二）	三島市文教町1丁目4-8	411-0033	055-986-3273	https://www.city.mishima.shizuoka.jp/ipn000197.html	138.912908	35.131334
msm_pfaci_126	錦田放課後児童クラブ	三島市谷田282	411-0801	055-975-5822	https://www.city.mishima.shizuoka.jp/ipn000253.html	138.934487	35.114239
msm_pfaci_127	坂放課後児童クラブ	三島市市山新田163-2	411-0019	055-972-2206	https://www.city.mishima.shizuoka.jp/ipn000305.html	138.962114	35.137572
msm_pfaci_128	佐野放課後児童クラブ	三島市佐野238	411-0047	055-992-6596	https://www.city.mishima.shizuoka.jp/ipn000296.html	138.924099	35.168555
msm_pfaci_129	中郷放課後児童クラブ（第一、第二）	三島市梅名453	411-0816	055-977-4373	https://www.city.mishima.shizuoka.jp/ipn000236.html	138.927612	35.094879
msm_pfaci_130	沢地放課後児童クラブ	三島市沢地127-1	411-0043	055-986-8866	https://www.city.mishima.shizuoka.jp/ipn000308.html	138.926577	35.140553
msm_pfaci_131	向山放課後児童クラブ（第一、第二）	三島市谷田1946	411-0801	055-975-5844	https://www.city.mishima.shizuoka.jp/ipn000243.html	138.938438	35.104596
msm_pfaci_132	北上放課後児童クラブ	三島市徳倉844-1	411-0044	055-986-7233	https://www.city.mishima.shizuoka.jp/ipn000300.html	138.913456	35.149293
msm_pfaci_133	長伏放課後児童クラブ	三島市長伏226-5	411-0824	055-977-7139	https://www.city.mishima.shizuoka.jp/ipn000213.html	138.914689	35.085362
msm_pfaci_134	山田放課後児童クラブ（第一、第二）	三島市川原ケ谷812	411-0044	055-986-7979	https://www.city.mishima.shizuoka.jp/ipn001413.html	138.934385	35.133426
msm_pfaci_135	徳倉放課後児童クラブ（第一、第二）	三島市徳倉4丁目1-4	411-0044	055-986-7979	https://www.city.mishima.shizuoka.jp/ipn032269.html	138.913241	35.142233
