都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
222038,15,静岡県,沼津市,青葉保育園,アオバホイクエン,認定私立保育所,静岡県沼津市獅子浜51,,35.0520821,138.8854962,,,055-955-8001,,055-933-4721,2080105000142,社会福祉法人厚生保育会,,30,2か月から,月火水木金土,7:00,18:00,休園日：12月31日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり,有,http://www.aobahoikuen.ed.jp/,
222038,16,静岡県,沼津市,天神保育園,テンジンホイクエン,認定私立保育所,静岡県沼津市原120,,35.1242402,138.7990917,,,055-966-2667,,055-966-2867,8080105000137,社会福祉法人和合会,,60,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://www.ans.co.jp/u/numazu/tenjin/,
222038,17,静岡県,沼津市,みくに保育園,ミクニホイクエン,認定私立保育所,静岡県沼津市桃里317-2,,35.1325876,138.7667499,,,055-966-0221,,055-966-0450,1080105000135,社会福祉法人青桐会,,60,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://www.ans.co.jp/u/numazu/mikuni/index.htm,
222038,18,静岡県,沼津市,大泉保育園,ダイセンホイクエン,認定私立保育所,静岡県沼津市井出738-1,,35.1423831,138.7960483,,,055-967-0170,,055-967-0251,9080105000128,社会福祉法人士詠会,,45,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://www.ans.co.jp/u/numazu/daisen/,
222038,19,静岡県,沼津市,浮島保育園,ウキシマホイクエン,認定私立保育所,静岡県沼津市平沼625,,35.1470503,138.7891153,,,055-966-2139,,055-967-7276,1080105000143,社会福祉法人浮保会,,60,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり,,http://palangel.jp/r2/us/ukishima-h/,
222038,20,静岡県,沼津市,いずみ保育園,イズミホイクエン,認定私立保育所,静岡県沼津市東熊堂115,,35.1251014,138.8625778,,,055-925-4545,,055-925-4548,8080105000120,社会福祉法人いずみ会,,120,2か月頃から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00※低年齢児の保育時間については面談による;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/izumi/index.htm,
222038,21,静岡県,沼津市,かぬき保育園,カヌキホイクエン,認定私立保育所,静岡県沼津市中瀬町25-11,,35.1000668,138.8828445,,,055-932-6217,,055-932-7061,5080105000123,社会福祉法人信愛会,,60,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:30;土曜延長保育：なし,有,http://www.shinai-kai.jp/kanuki/,
222038,22,静岡県,沼津市,光長保育園,コウチョウホイクエン,認定私立保育所,静岡県沼津市岡宮1033-1,,35.1286692,138.8727491,,,055-922-8610,,055-923-1017,1080105000127,社会福祉法人光長寺徳永会,,130,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～18:30;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/koucho/,
222038,23,静岡県,沼津市,まいとりや保育園,マイトリヤホイクエン,認定私立保育所,静岡県沼津市原1702-2,,35.1295491,138.8064281,,,055-967-2550,,055-967-2551,6080105000130,社会福祉法人普済会,,90,3か月から,月火水木金土,7:15,18:15,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:15～19:15;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/maitoriya/,
222038,24,静岡県,沼津市,小百合保育園,サユリホイクエン,認定私立保育所,静岡県沼津市本郷町10-5,,35.0962662,138.8701465,,,055-931-5504,,055-931-5695,4080105000132,社会福祉法人こひつじ会 ,,72,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://sayuri.or.jp/,
222038,25,静岡県,沼津市,多比保育園,タビホイクエン,認定私立保育所,静岡県沼津市多比398-1,,35.0513975,138.9038459,,,055-939-0741,,055-939-1234,3080105000141,社会福祉法人桂華会,,30,4か月から,月火水木金土,7:45,18:45,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（朝）7:15～7:45（夕）18:45～19:15;土曜延長保育：なし,有,http://www.keikakai.jp/,
222038,26,静岡県,沼津市,青空保育園,アオゾラホイクエン,認定私立保育所,静岡県沼津市小諏訪15-1,,35.1136182,138.8397704,,,055-926-9200,,055-927-2600,5080105002598,社会福祉法人青空,,120,2か月から,月火水木金土日,7:00,18:00,休園日：12月31日～1月3日;延長時間：（夕）18:00～19:30;土曜延長保育：あり,有,https://www.aozora-h.com/,
222038,27,静岡県,沼津市,しんあい保育園,シンアイホイクエン,認定私立保育所,静岡県沼津市下香貫宮原276-1,,35.087119,138.8722847,,,055-943-6031,,055-943-6032,5080105000123,社会福祉法人信愛会,,120,2か月から,月火水木金土,7:00,18:00,休園日：12月30日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://www.shinai-kai.jp/shinai-h/,
222038,28,静岡県,沼津市,丘の上保育園,オカノウエホイクエン,認定私立保育所,静岡県沼津市大岡4075-4,,35.1391667,138.8804614,,,055-941-5731,,055-941-5732,7080105000146,社会福祉法人駿河厚生会,,80,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり,有,http://okanouehoiku.wp.xdomain.jp/,
222038,29,静岡県,沼津市,ぽんぽんの森,ポンポンノモリ,認定私立保育所,静岡県沼津市大岡1966-1,,35.1150975,138.8686293,,,055-955-8103,,055-955-8104,6080001012221,株式会社Cremaly,,19,3か月から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（朝）7:00～7:30（夕）18:30～19:00;土曜延長保育：なし,,http://ponpon-hoiku.com,小規模保育事業所（連携施設：大岡保育所）
222038,30,静岡県,沼津市,アドバンぺんぎん保育園,アドバンペンギンホイクエン,認定私立保育所,静岡県沼津市中沢田486-6,,35.1218926,138.8531626,,,055-957-0101,,,3080101003701,株式会社アドバン,,19,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり,,https://www.advan.ne.jp/child/hoiku/penguin/,小規模保育事業所（連携施設：金岡保育所）
222038,31,静岡県,沼津市,イロドリぬまづ保育園,イロドリヌマヅホイクエン,認定私立保育所,静岡県沼津市江原町2-11,,35.1186809,138.8624589,,,055-939-7555,,,4080101018434,株式会社IRODORI,,12,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,https://irodorinumazu.com/,小規模保育事業所（連携施設：ときわ保育所）
222038,32,静岡県,沼津市,保育所グローアップ大岡園,ホイクショグローアップオオオカエン,認定私立保育所,静岡県沼津市大岡2147-1,,35.118662,138.874472,,,055-939-5256,,,5080001022007,株式会社グローアップ,,18,4か月から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,https://growup-hoiku.com/74951/top/oookaen/,小規模保育事業所（連携施設：小百合保育園）
222038,33,静岡県,沼津市,SUNNY　KIDS,サニーキッズ,認可外保育所,静岡県沼津市御幸町11-1,金子ビル2F西,35.0963923,138.8660967,,,055-956-4994,,,6080101007484,flapS(株),,,,月火水木金,9:00,17:00,休園日：土・日曜日、祝日、お盆、年末年始,,http://sunny-kids.net/,受入年齢、収容定員：施設に要確認
222038,34,静岡県,沼津市,ドレミ託児所,ドレミタクジショ,認可外保育所,静岡県沼津市高島本町1-6,イーアットビル2F,35.1089394,138.8576972,,,055-926-4041,,,,伊東　マサコ,,,,月火水木金土,7:00,19:00,休園日：日曜日、お盆、年末年始;土曜日は月2回（要予約）,,http://www.e-atto.com/all/doremi/index.html,受入年齢、収容定員：施設に要確認
222038,35,静岡県,沼津市,キッズサークルちゃんぷ,キッズサークルチャンプ,認可外保育所,静岡県沼津市沼北町1-15-28,,35.1151238,138.8560268,,,055-925-6130,,,1080102000501,(有)エーアイエムクリエイト,,,,月火水木金土日,8:00,3:30,休園日：お盆、年末年始、毎月最終日曜日;土曜日の8:00～19:00は時間預かりのみ;日曜日は19:00～翌日AM3:30,,http://www.kids-champ.com/index.html,受入年齢、収容定員：施設に要確認
222038,36,静岡県,沼津市,森のベビーハウス,モリノベビーハウス,認可外保育所,静岡県沼津市松長339-9,,35.1174308,138.8209878,,,090-2757-3523,,,,森　沙織,,,,月火水木金土日,9:00,15:00,休園日：前日までに予約のない場合、お盆、年末年始,,http://morinobabyhouse.sakura.ne.jp/,受入年齢、収容定員：施設に要確認
222038,37,静岡県,沼津市,竹の子保育園沼津大手町,タケノコホイクエンヌマヅオオテマチ,認可外保育所,静岡県沼津市大手町5-5-2,,35.0997088,138.8586275,,,090-2776-0552,,,4080405006473,一般社団法人ホスピタリティアカデミックソサエティ,,,,月火水木金土日,7:00,20:00,,,https://www.rs-hotel.jp/takenokohn/,受入年齢、収容定員：施設に要確認;企業主導型保育施設
222038,38,静岡県,沼津市,大岡さくら保育園,オオオカサクラホイクエン,認可外保育所,静岡県沼津市大岡2043-1,アニュープラザ1F,35.1116534,138.8697955,,,055-919-0197,,,4120001174273,(株)メディアソリューション,,,,月火水木金土日,7:00,20:00,,,https://sakura.lighthope.net/,受入年齢、収容定員：施設に要確認;企業主導型保育施設
222038,39,静岡県,沼津市,パンダ保育園,パンダホイクエン,認可外保育所,静岡県沼津市西沢田429-4,,35.1209009,138.8449876,,,055-939-7871,,,2080101020020,K'sライフサービス(株),,,,月火水木金土,7:30,18:30,休園日：12月30日～1月3日、日曜日、祝日;延長時間：（夕）18:30～19:30,,https://nursery-kojima.com/,受入年齢、収容定員：施設に要確認;企業主導型保育施設
222038,40,静岡県,沼津市,サンカフェ・はらまち,サンカフェ・ハラマチ,認可外保育所,静岡県沼津市原198-12,,35.1250534,138.7979415,,,055-966-0139,,,1080105000119,社会福祉法人松濤会,,,,月火水木金,7:00,18:00,休園日：12月30日～1月3日、土・日曜日、祝日,,http://www.haramachi-ho.or.jp/introduction/index.html,受入年齢、収容定員：施設に要確認;企業主導型保育施設
222038,41,静岡県,沼津市,しょうえい幼稚園,ショウエイヨウチエン,認定こども園（幼保連携型）,静岡県沼津市大塚812-2,,35.1259917,138.8097432,,,055-967-4521,,055-967-4572,7080105000195,学校法人沼津頌栄学園,2015/4/1,132,6か月頃から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://99shouei.com/,
222038,42,静岡県,沼津市,片浜桜プレスクール,カタハマサクラプレスクール,認定こども園（幼保連携型）,静岡県沼津市今沢65,,35.1178277,138.8131788,,,055-966-6349,,055-967-9966,5080105000131,橘会,2016/4/1,120,満3歳から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://katahamasakura.com,
222038,43,静岡県,沼津市,片浜桜ナーサリールーム,カタハマサクラナーサリールーム,認定こども園（幼保連携型）,静岡県沼津市今沢680-4,,35.1219077,138.8137353,,,055-966-5351,,055-968-0848,5080105000131,橘会,2016/4/1,90,3か月頃から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://katahamasakura.com,
222038,44,静岡県,沼津市,中央幼稚園,チュウオウヨウチエン,認定こども園（幼保連携型）,静岡県沼津市幸町23-3,,35.0960587,138.8543085,,,055-951-6694,,055-952-0868,2080105000200,学校法人大聖学園,42826,172,6か月頃から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,http://chuou.s163.coreserver.jp/,
222038,45,静岡県,沼津市,杉浦学園かきつばたこども園,スギウラガクエンカキツバタコドモエン,認定こども園（幼保連携型）,静岡県沼津市柳沢222,,35.1395424,138.8179577,,,055-967-4188,,055-967-4189,6080105000196,学校法人杉浦学園,43191,82,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/akebono/,
222038,46,静岡県,沼津市,杉浦学園あけぼのこども園,スギウラガクエンアケボノコドモエン,認定こども園（幼保連携型）,静岡県沼津市柳沢307,,35.1407017,138.8181449,,,055-955-5511,,055-969-0038,6080105000196,学校法人杉浦学園,43191,153,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/akebono/,
222038,47,静岡県,沼津市,こずわ幼稚園,コズワヨウチエン,認定こども園（幼保連携型）,静岡県沼津市小諏訪242-4,,35.1072929,138.8388885,,,055-963-0721,,055-963-4096,5080105000189,学校法人沼津後藤学園,2020/4/1,102,6か月頃から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日,,http://www.ans.co.jp/k/kozuwa/,
222038,48,静岡県,沼津市,原町幼稚園,ハラマチヨウチエン,認定こども園（幼稚園型）,静岡県沼津市原199-1,,35.1250395,138.7974544,,,055-966-7338,,055-966-7370,6080105000683,学校法人松濤学園,42826,120,満3歳から,月火水木金,7:30,18:30,休園日：12月29日～1月3日、土・日曜日、祝日,有,http://www.haramachi-ki.ed.jp/,
222038,49,静岡県,沼津市,春の木幼稚園,ハルノキヨウチエン,認定こども園（幼稚園型）,静岡県沼津市東椎路1547-1,,35.127751,138.8351761,,,055-923-5445,,055-924-7730,6080105000188,学校法人向坂学園,43556,90,満3歳から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,有,http://www.harunoki.com/,
222038,50,静岡県,沼津市,耕雲寺幼稚園,コウウンジヨウチエン,認定こども園（幼稚園型）,静岡県沼津市大岡1092,,35.1055789,138.8801907,,,055-951-3075,,055-951-3086,2080105000191,学校法人耕雲寺学園,43922,155,3歳から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,http://kouunji.kiraweb.com/,
222038,51,静岡県,沼津市,第二耕雲寺幼稚園,ダイニコウウンジヨウチエン,認定こども園（幼稚園型）,静岡県沼津市大岡2242-14,,35.1138182,138.8761458,,,055-923-3911,,055-923-3913,2080105000191,学校法人耕雲寺学園,43922,95,3歳から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,http://kouunji.kiraweb.com/,
222038,52,静岡県,沼津市,象山幼稚園,ゾウヤマヨウチエン,認定こども園（幼稚園型）,静岡県沼津市志下北通り72-1,,35.069054,138.878264,,,055-931-3426,,055-931-8962,3080105000190,学校法人象山学園,43922,180,3歳から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,http://zouyama.ac.jp/,
222038,53,静岡県,沼津市,沼津学園第一幼稚園,ヌマヅガクエンダイイチヨウチエン,認定こども園（幼稚園型）,静岡県沼津市寿町16-40,,35.1141783,138.857074,,,055-921-8140,,055-921-9863,1080105000184,学校法人沼津学園,43922,250,満3歳から,月火水木金,7:30,18:30,休園日：12月29日～1月3日、土・日曜日、祝日,,http://www2.tokai.or.jp/dai1/profile.html,
222038,54,静岡県,沼津市,沼津聖マリア幼稚園,ヌマヅセイマリアヨウチエン,認定こども園（幼稚園型）,静岡県沼津市本郷町18-31,,35.0936847,138.8685498,,,055-932-9911,,055-932-9917,5080005001353,学校法人静岡聖母学園,2020/4/1,104,3歳から,月火水木金,7:30,18:30,休園日：12月29日～1月3日、土・日曜日、祝日,,https://numazu-maria.jp/,
222038,55,静岡県,沼津市,原町保育園,ハラマチホイクエン,認定こども園（保育所型）,静岡県沼津市原199-1,,35.1250395,138.7974544,,,055-966-0139,,055-966-0146,1080105000119,社会福祉法人松濤会,43922,90,3か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,有,http://www.haramachi-ho.or.jp/,
222038,56,静岡県,沼津市,愛鷹幼稚園,アシタカヨウチエン,私立幼稚園,静岡県沼津市西椎路610-2,,35.1279144,138.8263327,,,055-966-2500,,055-966-9565,5080105000180,学校法人浅沼学園,,280,満3歳から,月火水木金,9:30,14:30,預かり保育：15:00～17:30,,http://ashitakay.com/,
222038,57,静岡県,沼津市,加藤学園幼稚園,カトウガクエンヨウチエン,私立幼稚園,静岡県沼津市大岡自由ヶ丘1979,,35.1176565,138.8698909,,,055-921-4805,,055-926-0044,4080105000181,学校法人加藤学園,,390,3歳から,月火水木金,8:30,14:30,預かり保育：7:30～18:00/長期休暇中も実施,,http://www.katoh-net.ac.jp/Kindergarten/,
222038,58,静岡県,沼津市,光長寺幼稚園,コウチョウジヨウチエン,私立幼稚園,静岡県沼津市岡宮1052-5,,35.1283895,138.873235,,,055-921-4213,,055-921-4236,1080105000192,学校法人徳永学園,,195,満3歳から,月火水木金,8:30,14:00,預かり保育：14:00～17:30/長期休暇中も実施,,https://www.kouchoji.info/,
222038,59,静岡県,沼津市,四恩幼稚園,シオンヨウチエン,私立幼稚園,静岡県沼津市三芳町3-14,,35.1020526,138.8659365,,,055-963-7538,,055-963-7545,4080105000198,学校法人聖公会聖ヨハネ学園,43901,45,満3歳から,月火水木金,9:30,14:30,預かり保育：8:00～9:30/14:30～17:30,,http://sj-shion.sakura.ne.jp/,
222038,60,静岡県,沼津市,沼津あすなろ幼稚園,ヌマヅアスナロヨウチエン,私立幼稚園,静岡県沼津市西沢田244-2,,35.1187487,138.8432406,,,055-922-8507,,055-924-0310,5080105000197,学校法人沼津音羽学園,,190,満3歳から,月火水木金,9:00,14:00,預かり保育：14:00～17:00/長期休暇中も実施,,http://www.numazuasunaro.jp/,
222038,61,静岡県,沼津市,沼津学園第二幼稚園,ヌマヅガクエンダイニヨウチエン,私立幼稚園,静岡県沼津市大岡3227-1,,35.127903,138.8879359,,,055-923-8850,,055-921-9854,1080105000184,学校法人沼津学園,43901,190,3歳から,月火水木金,8:30,14:30,預かり保育：15:00～18:00,,http://www2.tokai.or.jp/dai2/guide.html,
222038,62,静岡県,沼津市,沼津梅花幼稚園,ヌマヅバイカヨウチエン,私立幼稚園,静岡県沼津市本郷町23-9,,35.0929145,138.8707748,,,055-931-6146,,055-933-3168,3080105000554,学校法人霊山寺学園,43901,150,満3歳から,月火水木金,9:30,14:30,預かり保育：8:00～9:30/14:30～18:00,,http://palangel.jp/r2/us/numazubaika/,
222038,63,静岡県,沼津市,双葉幼稚園,フタバヨウチエン,私立幼稚園,静岡県沼津市下香貫柿原2843-1,,35.0760427,138.8704495,,,055-933-1835,,055-933-1836,8080105000186,学校法人双葉学園,43901,50,満3歳から,月火水木金,9:30,14:30,預かり保育：7:30～9:30/14:30～18:00,,https://palangel.jp/r2/us/futaba/,
222038,64,静岡県,沼津市,ルンビニ幼稚園,ルンビニヨウチエン,私立幼稚園,静岡県沼津市千本緑町2-7,,35.092809,138.8530627,,,055-962-1710,,055-962-0501,7080105000187,学校法人ルンビニ幼稚園,43901,25,満3歳から,月火水木金土,8:30,14:30,預かり保育：14:30～17:00/以降応相談;土曜日：8:30～11:30/月1～2回,,http://www2.tokai.or.jp/lumbini/,
222038,65,静岡県,沼津市,大平幼稚園,オオヒラヨウチエン,公立幼稚園,静岡県沼津市大平2205-1,,35.0776401,138.9102677,,,055-932-2080,,055-932-2780,8000020222038,沼津市,,140,3歳から,月火水木金,8:50,14:00,,,,
222038,66,静岡県,沼津市,戸田幼稚園,ヘダヨウチエン,公立幼稚園,静岡県沼津市戸田1031-1,,34.9711238,138.7839478,,,0558-94-3099,,0558-94-3099,8000020222038,沼津市,,105,3歳から,月火水木金,8:45,14:00,,,,
222038,67,静岡県,沼津市,児童発達支援センターみゆき,ジドウハッタツシエンセンターミユキ,児童発達支援センター,静岡県沼津市東原161-1,,35.1278238,138.8199676,,,055‐968‐0500,,055‐968‐0505,8000020222038,沼津市,,40,,月火水木金,0.354166667,0.666666667,休園日：12月29日～1月3日、3月31日、土・日曜日、祝日,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/miyuki.htm,
