都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
222038,,静岡県,沼津市,石坂外科医院,イシザカゲカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市新宿町１－７,,,,0559-21-0880,,0559-21-0880,,石坂　清六,2211102203,-,,,,
222038,,静岡県,沼津市,大岡医院,オオオカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡２４７３－４,,,,0559-21-2248,,0559-24-4600,,植松　哲,2211102245,-,,,,
222038,,静岡県,沼津市,小野医院,オノイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市真砂町２２－１７,,,,0559-51-6213,,,,小野　裕弘,2211102286,-,,,,
222038,,静岡県,沼津市,木林産婦人科内科医院,キバヤシサンフジンカナイカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市新宿町４－５,,,,0559-21-2507,,0589-21-2569,,木林　瑛,2211102450,-,,,,
222038,,静岡県,沼津市,岩端医院,イワハシイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町３－２－１９,,,,0559-62-1368,,,,岩端　秀久,2211102476,-,,,,
222038,,静岡県,沼津市,永倉耳鼻咽喉科クリニック,ナガクラジビインコウカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町１－１－３,,,,0559-63-3011,,0559-63-3012,,永倉　鋼太郎,2211102542,-,,,,
222038,,静岡県,沼津市,永野医院,ナガノイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡１４０１－１,,,,0559-62-4450,,0559-52-0865,,永野　圭藏,2211102625,-,,,,
222038,,静岡県,沼津市,山谷内科医院,ヤマヤナイカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市青野字八石５４－４,,,,0559-66-5333,,0559-66-5333,,山谷　文夫,2211102765,-,,,,
222038,,静岡県,沼津市,おおい神経内科,オオイシンケイナイカ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市北高島町１７－１５,,,,0559-22-8886,,0559-22-8886,,大井　隆嗣,2211102849,-,,,,
222038,,静岡県,沼津市,林医院,ハヤシイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市住吉町７－１５,,,,0559-31-1120,,0559-31-1120,,林　秀憲,2211102856,-,,,,
222038,,静岡県,沼津市,かぬき岩端医院,カヌキイワハタイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫前原１４７９－３,,,,0559-32-8189,,0559-32-8192,,岩端　俊久,2211102872,-,,,,
222038,,静岡県,沼津市,坂小児科医院,サカショウニカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫前原１４７３－７,,,,0559-31-3233,,0559-32-8137,,坂　芳樹,2211102906,-,,,,
222038,,静岡県,沼津市,山秋眼科医院,ヤマアキガンカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市筒井町１－５,,,,0559-24-4680,,0559-24-4680,,山秋　久,2211102948,-,,,,
222038,,静岡県,沼津市,よざ小児科医院,ヨザショウニカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市原字東沖１７８８－５,,,,0559-67-5722,,,,與座　明雄,2211102963,-,,,,
222038,,静岡県,沼津市,西方外科医院,ニシカタゲカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市共栄町２０－５,,,,0559-21-1333,,0559-21-6166,,西方　俊,2211102971,-,,,,
222038,,静岡県,沼津市,松原医院,マツバライイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市白銀町４－３,,,,0559-62-1496,,0559-62-1496,,松原　正典,2211102997,-,,,,
222038,,静岡県,沼津市,あいあい眼科クリニック,アイアイガンカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市原１７２１－１７,,,,0559-67-7715,,,,名古　良輔,2211103045,-,,,,
222038,,静岡県,沼津市,一杉麻酔科クリニック,ヒトスギマスイカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大塚５６－１,,,,0559-66-0236,,0559-66-0236,,一杉　安秀,2211103094,-,,,,
222038,,静岡県,沼津市,古屋小児科医院,フルヤショウニカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西条町１３４,,,,0559-63-0407,,0559-63-0407,,古屋　冨士夫,2211103136,-,,,,
222038,,静岡県,沼津市,小島レディースクリニック,コジマレディースクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡字久保１１２５－１,,,,0559-52-1103,,0559-62-8355,,小島　榮吉,2211103185,-,,,,
222038,,静岡県,沼津市,木村眼科医院,キムラガンカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市原１８４－５,,,,0559-67-4611,,0559-67-4611,,木村　裕子,2211103193,-,,,,
222038,,静岡県,沼津市,羽切医院,ハギリイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西椎路字南川１３８－１,,,,0559-68-3111,,0559-68-3110,,羽切　眞澄,2211103201,-,,,,
222038,,静岡県,沼津市,関外科胃腸科医院,セキゲカイチョウカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市花園町９－３,,,,0559-21-2188,,,,関　訓芳,2211103227,-,,,,
222038,,静岡県,沼津市,守重医院,モリシゲイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市我入道江川１,,,,0559-31-2511,,0559-33-4301,,守重　幸雄,2211103235,-,,,,
222038,,静岡県,沼津市,田中医院,タナカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市高島町２３－１５,,,,0559-21-2053,,0559-23-6307,,田中　信介,2211103276,-,,,,
222038,,静岡県,沼津市,白石医院,シライシイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市市道町１２－２５,,,,0559-51-4593,,,,白石　アンナ,2211103318,-,,,,
222038,,静岡県,沼津市,梅沢医院,ウメサワイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市東間門１－１－３,,,,0559-62-2229,,,,梅澤　さと,2211103391,-,,,,
222038,,静岡県,沼津市,大沢医院,オオサワイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市御幸町１４－１２,,,,0559-31-1019,,0559-31-1019,,大澤　香,2211103425,-,,,,
222038,,静岡県,沼津市,えがわ医院,エガワイイン,居宅療養管理指導、訪問リハビリテーション、訪問看護,沼津市高島本町１２－２０,,,,0559-21-5148,,0559-21-5173,,頴川　功,2211103433,-,,,,
222038,,静岡県,沼津市,えがわ医院通所リハビリセンター,エガワイインツウショリハビリセンター,通所リハビリテーション,沼津市高島本町１２－２０,,,,055-928-7288,,055-921-5173,,頴川　功,2211103433,月～土,国民の祝日、お盆休み及び年末年始は除く,10,,
222038,,静岡県,沼津市,井関マタニティクリニック,イセキマタニティクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市八幡町１１５,,,,0559-52-4103,,,,井関　紀一,2211103441,-,,,,
222038,,静岡県,沼津市,中ノ森眼科,ナカノモリガンカ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市緑ケ丘２－３,,,,0559-21-3217,,0559-21-3217,,中ノ森　恒,2211103466,-,,,,
222038,,静岡県,沼津市,本村クリニック,モトムラクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大塚８７０,,,,0559-69-0001,,,,本村文一,2211103490,-,,,,
222038,,静岡県,沼津市,かとうクリニック,カトウクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市若葉町４－１４,,,,0559-26-7722,,,,加藤　進太,2211103532,-,,,,
222038,,静岡県,沼津市,二本松眼科医院,ニホンマツガンカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市玉江町５－５,,,,0559-31-6111,,,,橋本　貴夫,2211103540,-,,,,
222038,,静岡県,沼津市,ゆうあいクリニック,ユウアイクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西椎路１６４－１,,,,0559-69-2777,,,,久保　精一,2211103565,-,,,,
222038,,静岡県,沼津市,青沼胃腸科クリニック,アオヌマイチョウカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡８３６－１８,,,,055-929-6205,,,,青沼　宏,2211103599,-,,,,
222038,,静岡県,沼津市,香貫医院,カヌキイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市本郷町２７－１８,,,,055-931-2465,,,,北條　正久,2211103615,-,,,,
222038,,静岡県,沼津市,さわだ・メディカル・クリニック,サワダ・メディカル・クリニック,居宅療養管理指導、訪問リハビリテーション、訪問看護,沼津市西沢田３２５－１,,,,055-921-1711,,,,さわだ・メディカル・クリニック　院長　竹内　文夫,2211103623,-,,,,
222038,,静岡県,沼津市,さわだメディカルクリニック　通所リハビリテーション　「べっく」,サワダメディカルクリニック　ツウショリハビリテーション　「ベック」,通所リハビリテーション,沼津市西沢田３２５－１,,,,055-921-1733,,055-921-1733,,さわだ・メディカル・クリニック　院長　竹内　文夫,2211103623,月～土,祝日、8/14～8/16、12/28～1/4を除く,20,,
222038,,静岡県,沼津市,込宮医院,コミヤイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市新宿町１６－１１,,,,055-921-0135,,,,込宮卓司,2211103656,-,,,,
222038,,静岡県,沼津市,小林内科医院,コバヤシナイカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市米山町７－８,,,,055-921-2165,,,,小林俊雄,2211103664,-,,,,
222038,,静岡県,沼津市,村岡内科クリニック,ムラオカナイカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡１０６６－３,,,,055-954-2000,,,,村岡秀樹,2211103672,-,,,,
222038,,静岡県,沼津市,三島耳鼻咽喉科クリニック,ミシマジビインコウカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫樋ノ口１７０６－１,,,,,,,,三島丈和,2211103680,-,,,,
222038,,静岡県,沼津市,リコー通りクリニック,リコードオリクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市高島町２９－５,,,,055-929-6336,,,,橋口　明男,2211103730,-,,,,
222038,,静岡県,沼津市,海野皮フ科クリニック,ウンノヒフカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市上香貫槙島町１２７０－１,,,,055-935-1211,,,,海野　哲史,2211103748,-,,,,
222038,,静岡県,沼津市,本多眼科分院,ホンダガンカブンイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町１－１－３,,,,,,,,伊地　靖和,2211103763,-,,,,
222038,,静岡県,沼津市,増田医院,マスダイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市原１０７７,,,,,,,,増田貴久,2211103789,-,,,,
222038,,静岡県,沼津市,伊豆クリニック,イズクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西熊堂３２７－２,,,,,,,,升森靖介,2211103813,-,,,,
222038,,静岡県,沼津市,望月内科医院,モチヅキナイカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫宮脇３３７－２９,,,,,,,,望月健太郎,2211103821,-,,,,
222038,,静岡県,沼津市,リコー通りアイクリニック,リコードオリアイクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市寿町２１－４１,,,,055-923-4088,,,,古畑謙,2211103839,-,,,,
222038,,静岡県,沼津市,新妻ひふ科,ニイヅマヒフカ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町２－７－１７,,,,055-962-0311,,,,萩原民郎,2211103847,-,,,,
222038,,静岡県,沼津市,本多眼科医院,ホンダガンカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市御幸町6番14号,,,,0559-31-1519,,,,平川　博秀,2211103854,-,,,,
222038,,静岡県,沼津市,御成橋栄クリニック,ゴセイバシサカエクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市八幡町２９－１,栄ビル２階,,,055-922-2525,,,,小林　栄孝,2211103888,-,,,,
222038,,静岡県,沼津市,大岡内科クリニック,オオオカナイカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡２６９６－１０,,,,055-926-2612,,,,森　明,2211103904,-,,,,
222038,,静岡県,沼津市,佐藤医院,サトウイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡日吉１６９９－６,,,,055-962-5479,,,,佐藤　州,2211103920,-,,,,
222038,,静岡県,沼津市,大沢ハートクリニック,オオサワハートクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市若葉町４－１４,,,,055-929-1313,,,,大沢　正尚,2211103938,-,,,,
222038,,静岡県,沼津市,本田さくら眼科医院,ホンダサクラガンカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町3-2-15,ＹＫビル1階,,,055-951-1365,,,,本田　治,2211103946,-,,,,
222038,,静岡県,沼津市,はだクリニック,ハダクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡１７２８－２,,,,055-952-5779,,,,羽田　正人,2211103979,-,,,,
222038,,静岡県,沼津市,今井医院,イマイイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市五月町７番１８号,,,,055-921-3211,,,,今井靖,2211104027,-,,,,
222038,,静岡県,沼津市,あそうクリニック,アソウクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市筒井町11-1,,,,055-929-7575,,,,麻生克己,2211104043,-,,,,
222038,,静岡県,沼津市,さわだの森耳鼻咽喉科クリニック,サワダノモリジビインコウカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西沢田340-１,,,,055-929-8787,,,,森聖哲,2211104068,-,,,,
222038,,静岡県,沼津市,酒井医院,サカイイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市今沢206,,,,055-966-1755,,,,酒井良博,2211104076,-,,,,
222038,,静岡県,沼津市,かとう内科医院,カトウナイカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡1998,,,,055-946-5562,,,,加藤伸太朗,2211104084,-,,,,
222038,,静岡県,沼津市,こんどうクリニック,コンドウクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市岡宮1157-1,,,,055-925-2420,,,,近藤哲矢,2211104100,-,,,,
222038,,静岡県,沼津市,いながきレディースクリニック,イナガキレディースクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市宮前町12-11,,,,055-926-1709,,,,稲垣　誠,2211104118,-,,,,
222038,,静岡県,沼津市,すずきファミリークリニック,スズキファミリークリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市一本松476-1,,,,055-960-0333,,,,鈴木　徹也,2211104126,-,,,,
222038,,静岡県,沼津市,芹澤クリニック,セリザワクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡1745-1,,,,055-963-3377,,,,芹澤　康哲,2211104142,-,,,,
222038,,静岡県,沼津市,海瀬病院,ウミセビョウイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西浦久連436-16,,,,055-942-2014,,,,海瀬　和郎,2211104159,-,,,,
222038,,静岡県,沼津市,森医院,モリイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市石川１６１,,,,055-966-2017,,,,和田則康,2211104217,-,,,,
222038,,静岡県,沼津市,べっく・メディカル・クリニック,ベック・メディカル・クリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市西沢田３３８－１,,,,055-921-1300,,,,別宮　壇,2211104225,-,,,,
222038,,静岡県,沼津市,みどり眼科,ミドリガンカ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町１－１－３,沼津産業ビル１Ｆ,,,055-964-0325,,,,田部晃,2211104233,-,,,,
222038,,静岡県,沼津市,ひろメンタルクリニック,ヒロメンタルクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町５－１１－３,ラピュタービル２Ｆ,,,055-954-5155,,,,遠藤博久,2211104258,-,,,,
222038,,静岡県,沼津市,岡田医院,オカダイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市新宿町４－１,,,,055-921-5321,,,,岡田隆,2211104266,-,,,,
222038,,静岡県,沼津市,高田胃腸科・内科クリニック,タカダイチョウカ・ナイカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市仲町７,,,,055-962-1410,,,,高田樹一,2211104274,-,,,,
222038,,静岡県,沼津市,森岡医院,モリオカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡３５３,,,,055-962-1084,,,,森岡　崇,2211104308,-,,,,
222038,,静岡県,沼津市,中山医院,ナカヤマイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市神田町３－３,,,,055-923-3599,,,,中山　貴裕,2211104316,-,,,,
222038,,静岡県,沼津市,ゆうひクリニック,ユウヒクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市岡宮１２７７－５１,フレミアこがね西棟１階,,,080-6387-7107,,,,梅本祐介,2211104357,-,,,,
222038,,静岡県,沼津市,あうるクリニック駿河ベイ,アウルクリニックスルガベイ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫宮脇２２７－１,平成香貫ビル１０１号室,,,055-933-8250,,,,竹内　遼,2211104365,-,,,,
222038,,静岡県,沼津市,とりい内科クリニック,トリイナカナイカクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市杉崎町13-42,,,,055-960-8007,,,,鳥井淑敬,2211104373,-,,,,
222038,,静岡県,沼津市,まの心血管クリニック,マノシンケッカンクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫1869-1,,,,,,,,眞野勇記,2211104381,-,,,,
222038,,静岡県,沼津市,一般財団法人芙蓉協会聖隷沼津病院,イッパンザイダンホウジン　フヨウキョウカイ　セイレイヌマヅビョウイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市本字松下七反田９０２－６,,,,0559-62-0932,,0559-63-2743,,一般財団法人　芙蓉協会,2211110057,-,,,,
222038,,静岡県,沼津市,公益財団法人復康会沼津中央病院,コウエキザイダンホウジンフッコウカイ　ヌマヅチュウオウビョウイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市中瀬町２４－１,,,,0559-31-4100,,0559-34-1698,,公益財団法人　復康会,2211110073,-,,,,
222038,,静岡県,沼津市,公益財団法人復康会　通所リハビリテーション　うしぶせ,コウエキザイダンホウジンフッコウカイ　ツウショリハビリテーション　ウシブセ,通所リハビリテーション,沼津市上香貫曼陀ヶ原２５１０－２２,,,,0559-31-1911,,0559-34-3811,,公益財団法人　復康会,2211110099,月～土,祝日を除く,20,,
222038,,静岡県,沼津市,財団法人　復康会　沼津リハビリテーション病院,ザイダンホウジン　フッコウカイ　　ヌマヅリハビリテーションビョウイン,居宅療養管理指導、訪問リハビリテーション、訪問看護,沼津市上香貫蔓陀ケ原２５１０－２２,,,,0559-31-1911,,0559-34-3811,,公益財団法人　復康会,2211110099,-,,,,
222038,,静岡県,沼津市,矢崎電線株式会社診療所,ヤザキデンセンカブシキカイシャシンリョウショ,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡２７７１,,,,0559-24-2230,,0559-21-2138,,矢崎電線株式会社,2211110107,-,,,,
222038,,静岡県,沼津市,ふれあい沼津ホスピタル,フレアイヌマヅホスピタル,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市市道町８－６,,,,0559-62-3530,,0559-52-2378,,医療法人社団静岡康心会,2211110115,-,,,,
222038,,静岡県,沼津市,公益財団法人復康会　大手町クリニック,コウエキザイダンホウジンフッコウカイ　オオテマチクリニック,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大手町３丁目１番地２,　エイプル・コア６Ｆ,,,0559-62-7311,,0559-51-7085,,公益財団法人　復康会,2211110131,-,,,,
222038,,静岡県,沼津市,医療法人社団賢仁会杉山病院,イリョウホウジンシャダンケンニンカイ　スギヤマビョウイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市錦町３－５,,,,0559-63-4114,,0559-63-4114,,医療法人　社団賢仁会,2211110164,-,,,,
222038,,静岡県,沼津市,沼津夜間救急医療センター,ヌマヅヤカンキュウキュウイリョウセンター,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市大岡１５１４－２,,,,0559-51-6078,,0559-62-1120,,沼津市,2211110172,-,,,,
222038,,静岡県,沼津市,医療法人社団　真養会　きせがわ病院,イリョウホウジンシャダン　シンヨウカイ　キセガワビョウイン,通所リハビリテーション,沼津市大岡１１５５,,,,0559-52-8600,,0559-52-8686,,医療法人社団　真養会,2211110198,月～土,祝日及び当院が別に定める年末年始休業日を除く,79,,
222038,,静岡県,沼津市,指定介護療養型医療施設　きせがわ病院,シテイカイゴリョウヨウガタイリョウシセツ　キセガワビョウイン,居宅療養管理指導、訪問リハビリテーション、訪問看護,沼津市大岡１１５５,,,,0559-62-1205,,0559-51-1013,,医療法人社団　真養会,2211110198,-,,,,
