都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
222038,,静岡県,沼津市,植松歯科医院,ｳｴﾏﾂｼｶｲｲﾝ,,沼津市若葉町17-27,,,,055-924-3535,,055-924-3536,,,,,,,,,,,,
222038,,静岡県,沼津市,牛臥歯科診療所,ｳｼﾌﾞｾｼｶｼﾝﾘｮｳｼﾞｮ,,沼津市下香貫塩場3079-11,,,,055-932-0065,,055-932-0065,,,,,,,,,,,,
222038,,静岡県,沼津市,梅田歯科医院,ｳﾒﾀﾞｼｶｲｲﾝ,,沼津市米山町2-29　,梅田ビル１F,,,055-921-3338,,055-921-3338,,,,,,,,,,,,
222038,,静岡県,沼津市,雲野歯科医院,ｳﾝﾉｼｶｲｲﾝ,,沼津市山王台1-6,,,,055-963-6231,,055-963-6231,,,,,,,,,,,,
222038,,静岡県,沼津市,海野皮フ科クリニック,ｳﾝﾉﾋﾌｶｸﾘﾆｯｸ,,沼津市上香貫槙島町１２７０－１,,,,055-935-1211,,055-935-1212,,,,,,,,,,,,
222038,,静岡県,沼津市,えがわ医院,ｴｶﾞﾜｲｲﾝ,,沼津市高島本町１２－２０,,,,055-921－5148,,055-921－5173,,,,,,,,,,,,
222038,,静岡県,沼津市,えがわ歯科矯正歯科,ｴｶﾞﾜｼｶｷｮｳｾｲｼｶ,,沼津市高島本町11-15　,頴川ビル１F,,,055-923-6480,,055-923-6480,,,,,,,,,,,,
222038,,静岡県,沼津市,エクセル歯科,ｴｸｾﾙｼｶ,,沼津市原町中2-13-26,,,,055-969-2020,,055-969-2021,,,,,,,,,,,,
222038,,静岡県,沼津市,江塚歯科医院,ｴﾂﾞｶｼｶｲｲﾝ,,沼津市杉崎町2-19,,,,055-923-6838(診),,055-923-6838(診),,,,,,,,,,,,
222038,,静岡県,沼津市,おおい神経内科,ｵｵｲｼﾝｹｲﾅｲｶ,,沼津市北高島町１７－１５,,,,055-922－8886,,055-922－8937,,,,,,,,,,,,
222038,,静岡県,沼津市,大岡内科クリニック,ｵｵｵｶﾅｲｶｸﾘﾆｯｸ,,沼津市大岡２６９６－１０,,,,055-926-2612,,055-926-0808,,,,,,,,,,,,
222038,,静岡県,沼津市,大岡マサキクリニック,ｵｵｵｶﾏｻｷｸﾘﾆｯｸ,,沼津市大岡863-6　,ツインヒルズ1Ｆ,,,055-943-9696,,055-943-9695,,,,,,,,,,,,
222038,,静岡県,沼津市,大川矯正歯科クリニック,ｵｵｶﾜｷｮｳｾｲｼｶｸﾘﾆｯｸ,,沼津市杉崎町7-6,,,,055-922-3338,,055-922-3305,,,,,,,,,,,,
222038,,静岡県,沼津市,大沢医院,ｵｵｻﾜｲｲﾝ,,沼津市御幸町１４番１２号,,,,055-931-1019,,055-928-5024,,,,,,,,,,,,
222038,,静岡県,沼津市,大沢ハートクリニック,ｵｵｻﾜﾊｰﾄｸﾘﾆｯｸ,,沼津市若葉町４－１４,,,,055-929-1313,,055-929-1311,,,,,,,,,,,,
222038,,静岡県,沼津市,大島歯科医院,ｵｵｼﾏｼｶｲｲﾝ,,沼津市筒井町2-6,,,,055-925-0776,,055-925-0748,,,,,,,,,,,,
222038,,静岡県,沼津市,大城歯科医院,ｵｵｼﾛｼｶｲｲﾝ,,沼津市共栄町7-13,,,,055-922-5512,,055-925-7557,,,,,,,,,,,,
222038,,静岡県,沼津市,大嶽歯科医院,ｵｵﾀｹｼｶｲｲﾝ,,沼津市岡一色４２１－２,,,,055-925-1286,,055-925-1286,,,,,,,,,,,,
222038,,静岡県,沼津市,大津歯科医院,ｵｵﾂｼｶｲｲﾝ,,沼津市真砂町7-9,,,,055-951-3800,,055-951-3800,,,,,,,,,,,,
222038,,静岡県,沼津市,大手町クリニック,ｵｵﾃﾏﾁｸﾘﾆｯｸ,,沼津市大手町3-1-2 ,エイブル･コア 6階,,,055-962-7371,,055-951-7085,,,,,,,,,,,,
222038,,静岡県,沼津市,大村歯科医院,ｵｵﾑﾗｼｶｲｲﾝ,,沼津市大手町2-4-1　,第一生命ビル2F,,,055-962-8046,,055-962-8046,,,,,,,,,,,,
222038,,静岡県,沼津市,岡田医院,ｵｶﾀﾞｲｲﾝ,,沼津市新宿町４－１,,,,055-921－5321,,055-926－8170,,,,,,,,,,,,
222038,,静岡県,沼津市,岡山デンタルクリニック,ｵｶﾔﾏﾃﾞﾝﾀﾙｸﾘﾆｯｸ,,沼津市西椎路118-1,,,,055-967-2322,,055-967-2352,,,,,,,,,,,,
222038,,静岡県,沼津市,おざわ歯科医院,ｵｻﾞﾜｼｶｲｲﾝ,,沼津市大岡1541-4,,,,055-951-2534,,055-951-2534,,,,,,,,,,,,
222038,,静岡県,沼津市,御成橋　栄クリニック,ｵﾅﾘﾊﾞｼｻｶｴｸﾘﾆｯｸ,,沼津市八幡町29-1　,栄ビル2F,,,055-952－2525,,055-952－7733,,,,,,,,,,,,
222038,,静岡県,沼津市,小野医院,ｵﾉｲｲﾝ,,沼津市真砂町２２－１７,,,,055-951－6213,,055-951－6475,,,,,,,,,,,,
222038,,静岡県,沼津市,小野眼科クリニック,ｵﾉｶﾞﾝｶｸﾘﾆｯｸ,,沼津市高島町８－８,,,,055-929－1881,,055-929－1880,,,,,,,,,,,,
222038,,静岡県,沼津市,小野歯科医院,ｵﾉｼｶｲｲﾝ,,沼津市高島町8-1,,,,055-921-9053,,055-921-9054,,,,,,,,,,,,
222038,,静岡県,沼津市,海瀬医院,ｶｲｾｲｲﾝ,,沼津市西浦久連４３６－１６,,,,055-942－2014,,055-942－2014,,,,,,,,,,,,
222038,,静岡県,沼津市,鏡歯科医院,ｶｶﾞﾐｼｶｲｲﾝ,,沼津市岡一色770-1,,,,055-921-1723,,055-921-1723,,,,,,,,,,,,
222038,,静岡県,沼津市,岳南医院,ｶﾞｸﾅﾝｲｲﾝ,,沼津市米山町１２－３０,,,,055-921-2443,,055-921-2443,,,,,,,,,,,,
222038,,静岡県,沼津市,柏木歯科医院,ｶｼﾜｷﾞｼｶｲｲﾝ,,沼津市添地町213,,,,055-962-1340,,055-951-6841,,,,,,,,,,,,
222038,,静岡県,沼津市,片岡歯科医院,ｶﾀｵｶｼｶｲｲﾝ,,沼津市下香貫汐入2171-2,,,,055-931-2009,,055-931-2009,,,,,,,,,,,,
222038,,静岡県,沼津市,片浜ベース歯科,カタハマベースシカ,,沼津市松長921-6　,ドリーミー片浜101,,,055-957-4649,,055-957-4650,,,,,,,,,,,,
222038,,静岡県,沼津市,加藤歯科医院,ｶﾄｳｼｶｲｲﾝ,,沼津市北今沢16-1,,,,055-966-4841,,055-967-4915,,,,,,,,,,,,
222038,,静岡県,沼津市,加藤整形・形成外科医院,ｶﾄｳｾｲｹｲｹｲｾｲｹﾞｶｲｲﾝ,,沼津市我入道江川２２－６,,,,055-932-3330,,055-932-8156,,,,,,,,,,,,
222038,,静岡県,沼津市,かとう内科医院,ｶﾄｳﾅｲｶｲｲﾝ,,沼津市大岡１９９８,,,,055-946-5562,,055-946-5563,,,,,,,,,,,,
222038,,静岡県,沼津市,金井歯科診療所,ｶﾅｲｼｶｼﾝﾘｮｳｼﾞｮ,,沼津市大平1584-1,,,,055-931-3922,,055-931-3922,,,,,,,,,,,,
222038,,静岡県,沼津市,金元整形外科医院,ｶﾅﾓﾄｾｲｹｲｹﾞｶｲｲﾝ,,沼津市松長７４０－７,,,,055-924-0112,,055-923-7265,,,,,,,,,,,,
222038,,静岡県,沼津市,香貫医院,ｶﾇｷｲｲﾝ,,沼津市本郷町２７－１８,,,,055-931－2465,,055-931－2477,,,,,,,,,,,,
222038,,静岡県,沼津市,かぬき岩端医院,ｶﾇｷｲﾜﾊﾞﾀｲｲﾝ,,沼津市下香貫前原１４７９－３,,,,055-932-8189,,055-932-8192,,,,,,,,,,,,
222038,,静岡県,沼津市,鎌田歯科医院,ｶﾏﾀｼｶｲｲﾝ,,沼津市御幸町24-46,,,,055-933-9700,,055-955-4055,,,,,,,,,,,,
222038,,静岡県,沼津市,亀井歯科医院,ｶﾒｲｼｶｲｲﾝ,,沼津市大手町1-1-9,,,,055-962-0995,,055-963-1225,,,,,,,,,,,,
222038,,静岡県,沼津市,川口歯科医院,ｶﾜｸﾞﾁｼｶｲｲﾝ,,沼津市高島町21-2,,,,055-921-5086,,055-921-5086,,,,,,,,,,,,
222038,,静岡県,沼津市,神田歯科医院,ｶﾝﾀﾞｼｶｲｲﾝ,,沼津市大手町5-6-2,,,,055-951-6480,,055-951-6480,,,,,,,,,,,,
222038,,静岡県,沼津市,庵原歯科医院,ｶﾝﾊﾞﾗｼｶｲｲﾝ,,沼津市添地町149,,,,055-963-2468,,055-951-2424,,,,,,,,,,,,
222038,,静岡県,沼津市,庵原町中歯科医院,ｶﾝﾊﾞﾗﾁｮｳﾅｶｼｶｲｲﾝ,,沼津市原町中1-3-10,,,,055-969-1000,,055-969-1035,,,,,,,,,,,,
222038,,静岡県,沼津市,城内歯科医院,ｷｳﾁｼｶｲｲﾝ,,沼津市三枚橋町13-9,,,,055-962-2612,,055-962-2612,,,,,,,,,,,,
222038,,静岡県,沼津市,きくた歯科医院,ｷｸﾀｼｶｲｲﾝ,,沼津市下河原73-2,,,,055-951-4628,,055-951-4628,,,,,,,,,,,,
222038,,静岡県,沼津市,北原歯科医院,ｷﾀﾊﾗｼｶｲｲﾝ,,沼津市江原町6-16,,,,055-922-9885,,055-922-9885,,,,,,,,,,,,
222038,,静岡県,沼津市,きのした歯科クリニック,ｷﾉｼﾀｼｶｸﾘﾆｯｸ,,沼津市岡宮堂の上1124,,,,055-925-3381,,055-925-3381,,,,,,,,,,,,
222038,,静岡県,沼津市,木村眼科医院,ｷﾑﾗｶﾞﾝｶｲｲﾝ,,沼津市原１８４－５,,,,055-967-4611,,055-969-1982,,,,,,,,,,,,
222038,,静岡県,沼津市,杏林歯科,ｷｮｳﾘﾝｼｶ,,沼津市西椎路193,,,,055-967-1487,,055-966-4288,,,,,,,,,,,,
222038,,静岡県,沼津市,工藤歯科医院,ｸﾄﾞｳｼｶｲｲﾝ,,沼津市高島本町11-3,,,,055-923-3031,,055-924-2418,,,,,,,,,,,,
222038,,静岡県,沼津市,窪田医院,ｸﾎﾞﾀｲｲﾝ,,沼津市吉田町８－１０,,,,055-931－2544,,055-931－2544,,,,,,,,,,,,
222038,,静岡県,沼津市,栗田歯科医院,ｸﾘﾀｼｶｲｲﾝ,,沼津市幸町4,,,,055-962-2687,,055-962-2684,,,,,,,,,,,,
222038,,静岡県,沼津市,クリニックかどいけ,ｸﾘﾆｯｸｶﾄﾞｲｹ,,沼津市岡一色６７２－２,,,,055-929-7427,,055-929-7457,,,,,,,,,,,,
222038,,静岡県,沼津市,黒木歯科医院,ｸﾛｷｼｶｲｲﾝ,,沼津市本郷町22-18,,,,055-931-3367,,055-931-7178,,,,,,,,,,,,
222038,,静岡県,沼津市,くわはら矯正歯科医院,ｸﾜﾊﾗｷｮｳｾｲｼｶｲｲﾝ,,沼津市大手町5-5-3　,森田ビル５F,,,055-962-0388,,055-957-8125,,,,,,,,,,,,
222038,,静岡県,沼津市,敬愛歯科医院,ｹｲｱｲｼｶｲｲﾝ,,沼津市下香貫下障子3151-5,,,,055-931-0100,,055-931-0100,,,,,,,,,,,,
222038,,静岡県,沼津市,KLT川口歯科医院,ｹｰｴﾙﾃｨｰｶﾜｸﾞﾁｼｶｲｲﾝ,,沼津市本町37,,,,055-962-1460,,055-962-1468,,,,,,,,,,,,
222038,,静岡県,沼津市,KLT川口メモリアル歯科,ｹｰｴﾙﾃｨｰｶﾜｸﾞﾁﾒﾓﾘｱﾙｼｶ,,沼津市大手町3-2-20　,サンフォーレビル３F,,,055-963-5841,,055-963-5881,,,,,,,,,,,,
